ticker,inst_pct,insider_pct,float_pct
AA,83.54,0.54,99.59
AAOI,68.6,10.51,95.01
AAON,86.84,16.84,83.28
AAP,126.81,0.74,99.47
ABAT,36.38,4.5,96.2
ABEO,70.4,16.54,64.25
ACAD,98.93,0.32,74.28
ACHC,146.36,1.54,92.57
ACHR,49.19,14.94,84.23
ACIW,102.63,1.24,98.69
ACM,93.4,0.49,99.43
ACMR,77.05,12.78,91.14
ACRS,79.71,2.29,81.01
AD,38.8,71.64,29.06
ADEA,104.16,1.95,97.66
ADMA,93.56,1.9,97.82
AEHR,71.73,4.68,95.32
AEVA,66.81,18.25,54.04
AG,54.36,1.09,98.91
AGIO,109.3,1.12,84.18
AGNT,37.96,40.87,59.12
AI,58.63,4.82,91.52
AKAM,111.51,2.1,97.71
AKBA,42.15,4.06,97.67
ALAB,75.28,10.74,89.83
ALGM,77.42,32.56,67.05
ALGN,100.7,6.82,93.58
ALMS,100.3,0.62,69.55
ALNY,104.24,0.18,99.57
ALT,58.14,0.41,84.43
ALTO,51.14,5.99,89.38
AMBA,87.45,4.45,95.4
AMCX,106.32,5.95,97.23
AMD,74.12,0.4,99.47
AMKR,51.65,50.0,43.63
AMPX,65.55,4.46,97.32
AMSC,70.37,3.44,95.02
AMTM,107.23,1.17,62.35
ANAB,100.66,5.68,66.84
ANET,72.91,17.27,82.98
ANIP,110.38,5.53,85.41
APGE,109.25,2.35,96.09
APLD,74.86,9.35,91.59
APLS,,,
APP,76.6,14.32,83.64
APPF,92.29,4.66,95.53
APPN,97.45,6.62,84.35
APPS,65.99,4.91,95.86
APTV,103.16,0.82,98.93
ARLO,103.24,3.18,97.1
ARRY,140.46,0.66,90.93
ARVN,82.14,7.91,86.49
ARW,110.38,0.51,99.41
ARWR,89.02,3.68,87.16
ASAN,65.8,44.36,54.88
ASM,29.77,6.31,90.9
ASND,101.66,0.77,94.69
ASPN,70.51,16.22,92.55
ASTH,61.4,22.87,65.83
ASTS,48.63,7.81,89.03
ATEC,77.82,20.47,79.02
ATI,96.83,0.92,98.97
ATKR,98.55,1.2,90.87
ATMU,103.18,0.49,99.2
ATRC,102.24,3.86,92.13
AU,79.74,0.2,99.83
AUGO,37.15,51.34,47.93
AUPH,60.71,7.53,98.16
AUR,77.57,20.27,79.74
AVA,89.6,0.9,99.07
AVAV,89.54,0.89,74.86
AVGO,80.58,1.94,98.77
AVPT,65.93,19.08,66.8
AVT,107.72,1.13,99.19
AVTR,102.76,1.49,97.29
AWI,105.96,1.53,98.32
AXON,91.35,4.15,95.26
AXSM,75.67,15.35,84.64
AXTI,61.68,7.15,93.58
AZTA,110.42,1.0,88.09
B,67.19,0.41,99.64
BA,75.49,0.05,95.96
BB,50.92,0.32,99.75
BBAI,42.29,0.69,99.11
BBBY,,,
BBIO,102.1,3.92,84.07
BBWI,106.5,0.52,93.99
BBY,99.18,6.47,93.82
BCRX,100.27,1.2,86.97
BDX,99.19,0.42,99.69
BE,88.04,5.83,98.09
BEAM,106.67,1.4,85.48
BEPC,77.77,0.04,90.92
BFLY,55.34,10.84,82.14
BHC,64.83,11.13,69.59
BHVN,91.6,11.24,82.19
BIIB,96.41,0.19,99.69
BILL,104.89,12.33,89.21
BJ,110.37,0.64,99.46
BKD,112.6,1.96,98.62
BL,110.96,9.36,76.47
BLBD,112.51,1.27,98.84
BLDP,32.58,10.35,89.64
BLDR,102.99,2.7,97.09
BMBL,89.52,2.9,81.6
BOX,105.5,3.28,103.05
BTDR,71.5,33.47,63.61
BTSG,102.18,3.16,90.02
BULL,51.5,18.92,77.6
