ticker,earnings_date,candidate,one_day,gap_pct,cc_pct,o2c_pct,z_gap,z_cc,turnover_M
GOOG,2026-04-29,AMC(익일),2026-04-30,6.9,9.97,2.88,5.08,5.69,17023.27
GOOGL,2026-04-29,AMC(익일),2026-04-30,6.9,9.96,2.87,4.89,5.46,27720.99
GEV,2026-04-22,BMO(당일),2026-04-22,8.56,13.75,4.78,5.79,5.11,4718.54
ALV,2026-04-17,BMO(당일),2026-04-17,12.41,6.82,-4.98,6.84,3.66,316.01
CCC,2026-02-24,AMC(익일),2026-02-25,6.52,25.3,17.63,6.53,8.54,159.15
AMRZ,2026-02-17,AMC(익일),2026-02-18,6.36,10.99,4.36,5.89,5.56,635.46
IRDM,2026-02-12,BMO(당일),2026-02-12,4.01,21.29,16.61,3.06,7.01,142.71
COIN,2026-02-12,AMC(익일),2026-02-13,8.94,16.46,6.91,4.14,3.99,5325.63
LSCC,2026-02-10,AMC(익일),2026-02-11,15.89,16.29,0.35,10.74,6.06,646.84
RACE,2026-02-10,BMO(당일),2026-02-10,7.77,8.06,0.27,6.7,5.3,872.96
DVA,2026-02-02,AMC(익일),2026-02-03,15.12,21.17,5.26,33.16,13.4,648.01
VZ,2026-01-30,BMO(당일),2026-01-30,5.53,11.83,5.97,15.4,11.76,5501.99
ALGM,2026-01-29,BMO(당일),2026-01-29,6.98,9.93,2.76,5.08,3.09,381.96
FCEL,2025-12-18,BMO(당일),2025-12-18,17.59,22.03,3.77,6.34,3.25,124.73
SGML,2025-11-14,AMC(익일),2025-11-17,35.48,32.34,-2.31,12.23,4.83,358.89
COGT,2025-11-07,AMC(익일),2025-11-10,121.05,119.03,-0.92,104.43,35.68,756.03
COHR,2025-11-05,AMC(익일),2025-11-06,14.16,18.32,3.64,4.3,4.32,1720.98
PEGA,2025-10-21,AMC(익일),2025-10-22,9.76,14.97,4.74,12.83,6.79,322.96
CRML,2025-10-03,AMC(익일),2025-10-06,44.11,45.24,0.78,18.22,5.68,1846.26
ORCL,2025-09-09,AMC(익일),2025-09-10,32.16,35.95,2.86,22.01,14.89,43214.17
PL,2025-09-08,BMO(당일),2025-09-08,18.07,47.93,25.29,5.56,13.28,620.55
HEI,2025-08-25,AMC(익일),2025-08-26,5.45,8.78,3.16,10.98,6.09,370.09
HEI.A,2025-08-25,AMC(익일),2025-08-26,4.28,9.57,5.07,7.35,6.54,127.95
ONDS,2025-08-12,BMO(당일),2025-08-12,14.87,25.07,8.88,3.55,3.15,312.98
GEN,2025-08-07,AMC(익일),2025-08-08,4.99,7.71,2.59,8.4,5.8,306.94
DUOL,2025-08-06,AMC(익일),2025-08-07,29.8,13.75,-12.37,29.06,6.04,3200.18
BLBD,2025-08-06,AMC(익일),2025-08-07,17.29,18.51,1.04,17.92,10.61,130.34
AIP,2025-08-05,BMO(당일),2025-08-05,51.11,37.57,-8.96,28.88,9.29,284.96
KVYO,2025-08-05,AMC(익일),2025-08-06,15.54,15.02,-0.45,11.03,6.26,215.15
SSRM,2025-08-05,AMC(익일),2025-08-06,5.39,17.32,11.32,3.76,5.5,167.8
ANET,2025-08-05,AMC(익일),2025-08-06,13.27,17.49,3.73,8.3,6.2,3607.88
ALAB,2025-08-05,AMC(익일),2025-08-06,21.73,28.66,5.7,7.59,5.76,3005.56
VISN,2025-08-04,BMO(당일),2025-08-04,77.54,86.26,4.92,33.49,19.8,1100.79
BIO,2025-07-31,AMC(익일),2025-08-01,11.98,17.63,5.05,11.34,7.13,315.45
DB,2025-07-24,BMO(당일),2025-07-24,7.93,7.83,-0.09,4.89,4.35,206.19
TMUS,2025-07-23,AMC(익일),2025-07-24,4.3,5.8,1.43,5.72,4.18,2134.25
IBKR,2025-07-17,AMC(익일),2025-07-18,7.37,7.77,0.38,5.15,4.28,961.65
AVAV,2025-06-24,AMC(익일),2025-06-25,15.81,21.55,4.96,8.69,6.75,1490.37
VISN,2025-02-25,AMC(익일),2025-02-26,19.63,26.18,5.47,5.64,6.39,129.94
GTM,2025-02-25,AMC(익일),2025-02-26,17.31,23.08,4.92,16.16,9.87,439.11
PSTG,2024-12-03,AMC(익일),2024-12-04,17.03,22.06,4.29,14.02,8.98,866.36
MKSI,2024-11-07,BMO(당일),2024-11-07,14.0,11.96,-1.79,8.58,4.06,175.74
NAGE,2024-10-31,AMC(익일),2024-11-01,18.05,67.91,42.23,10.01,19.68,221.98
JBTM,2024-10-22,AMC(익일),2024-10-23,4.98,17.73,12.15,4.64,9.94,209.18
EXAS,2024-07-31,AMC(익일),2024-08-01,20.91,26.77,4.85,11.72,8.04,634.46
AEHR,2024-07-16,AMC(익일),2024-07-17,14.37,22.39,7.01,5.32,4.25,251.03
PENG,2024-07-09,AMC(익일),2024-07-10,10.72,26.27,14.04,9.34,11.21,225.79
INOD,2024-05-07,AMC(익일),2024-05-08,28.34,55.34,21.04,13.18,8.62,200.63
PSTG,2024-02-28,AMC(익일),2024-02-29,12.96,25.0,10.66,9.18,10.23,708.16
HOLX,2023-11-09,AMC(익일),2023-11-10,4.0,7.34,3.21,11.55,6.48,332.18
PSKY,2023-11-02,AMC(익일),2023-11-03,14.69,14.69,0.0,4.49,3.84,398.89
TSAT,2023-08-11,BMO(당일),2023-08-11,53.85,53.49,-0.23,49.52,20.77,301.89
PSTG,2023-05-31,AMC(익일),2023-06-01,7.71,19.07,10.54,8.39,8.83,710.59
CXT,2021-10-25,AMC(익일),2021-10-26,6.96,8.57,1.5,10.58,5.37,210.19
SEDG,2020-02-19,BMO(당일),2020-02-19,6.07,17.94,11.19,5.74,5.46,624.37
RACE,2019-11-04,BMO(당일),2019-11-04,6.52,5.34,-1.11,6.04,3.51,240.93
W,2018-08-02,BMO(당일),2018-08-02,8.41,7.54,-0.8,10.45,3.08,598.51
W,2017-05-09,BMO(당일),2017-05-09,12.18,20.73,7.62,9.26,9.09,739.11
CXT,2016-07-25,AMC(익일),2016-07-26,5.88,6.64,0.72,5.22,4.6,204.18
LKQ,2015-04-30,BMO(당일),2015-04-30,6.85,7.17,0.3,3.72,3.93,175.47
