case,industry,n_events,o2c1d_median,o2c1d_pos_pct,o2c2d_after_up_median,o2c2d_after_dn_median,fwd1m_n,fwd1m_median,fwd1m_mean,fwd1m_pos_pct,fwd2m_n,fwd2m_median,fwd2m_mean,fwd2m_pos_pct
case1,Manufacturing - Metal Fabrication,12.0,4.254,75.0,-0.546,2.634,12.0,1.127,3.765,66.667,12.0,9.609,5.082,66.667
case1,Engineering & Construction,56.0,2.985,89.286,-0.269,1.549,53.0,3.346,3.924,71.698,52.0,8.303,9.384,80.769
case1,Luxury Goods,15.0,4.519,66.667,0.435,1.097,15.0,4.419,5.108,60.0,14.0,7.593,8.591,78.571
case1,Construction,38.0,1.068,71.053,0.143,0.478,37.0,0.43,1.07,56.757,37.0,5.41,3.885,75.676
case1,Internet Content & Information,85.0,2.709,75.294,0.88,-0.182,80.0,2.004,-0.478,58.75,80.0,5.136,4.574,56.25
case1,Medical - Diagnostics & Research,56.0,2.034,73.214,-0.096,-0.245,55.0,4.379,4.288,65.455,55.0,4.798,5.266,70.909
case1,Electrical Equipment & Parts,34.0,2.652,85.294,-1.041,0.763,32.0,2.494,6.44,59.375,32.0,4.049,10.597,65.625
case1,Electronic Gaming & Multimedia,22.0,1.038,63.636,-0.032,-1.431,22.0,1.735,2.026,63.636,22.0,3.747,3.749,72.727
case1,Medical - Distribution,16.0,2.366,87.5,0.068,0.963,16.0,-0.461,-0.461,37.5,16.0,3.73,-0.22,56.25
case1,Financial - Capital Markets,20.0,2.307,65.0,1.932,-0.117,20.0,4.448,2.6,65.0,20.0,3.671,6.927,65.0
case1,Medical - Care Facilities,34.0,2.963,79.412,0.26,0.958,33.0,2.435,1.275,72.727,33.0,3.264,0.644,60.606
case1,Solar,39.0,5.528,84.615,-0.083,-0.603,39.0,-0.406,0.137,48.718,39.0,3.175,2.193,56.41
case1,Drug Manufacturers - General,14.0,3.36,85.714,0.531,0.716,13.0,3.457,3.365,69.231,13.0,3.147,0.351,61.538
case1,Biotechnology,105.0,5.569,80.952,0.532,1.386,103.0,1.508,2.114,54.369,100.0,3.138,5.167,60.0
case1,Industrial - Machinery,101.0,1.861,78.218,0.272,-0.226,97.0,0.613,0.103,56.701,97.0,2.982,1.686,65.979
case1,Drug Manufacturers - Specialty & Generic,38.0,2.592,76.316,0.67,1.815,37.0,1.701,-0.596,51.351,37.0,2.948,2.39,56.757
case1,Integrated Freight & Logistics,25.0,2.034,68.0,0.648,-0.79,24.0,1.83,2.131,62.5,24.0,2.879,3.706,58.333
case1,"Furnishings, Fixtures & Appliances",13.0,1.682,84.615,-0.409,4.754,13.0,2.691,3.361,53.846,13.0,2.621,4.145,53.846
case1,Medical - Devices,105.0,2.789,77.143,0.641,-0.278,104.0,1.458,2.711,59.615,104.0,2.539,2.453,57.692
case1,Aerospace & Defense,83.0,3.231,77.108,0.126,-1.012,81.0,0.693,1.904,55.556,78.0,2.481,2.394,60.256
case1,Telecommunications Services,22.0,2.812,90.909,1.094,-1.573,22.0,3.119,2.16,63.636,22.0,2.467,5.549,59.091
case1,Semiconductors,176.0,3.421,82.386,-0.429,0.797,170.0,2.002,1.277,58.824,169.0,2.44,2.931,55.03
case1,Medical - Healthcare Plans,13.0,2.022,84.615,0.088,3.731,13.0,-3.436,-0.716,46.154,13.0,2.429,0.053,61.538
case1,Computer Hardware,56.0,2.638,78.571,0.076,0.083,56.0,0.928,-0.867,57.143,56.0,2.226,2.374,60.714
case1,Discount Stores,23.0,1.39,60.87,0.806,-0.066,23.0,-0.546,-0.655,47.826,23.0,2.17,0.779,56.522
case1,Real Estate - Services,14.0,2.148,85.714,0.718,3.269,14.0,3.04,2.9,71.429,14.0,1.957,2.003,57.143
case1,Entertainment,22.0,2.204,63.636,0.449,0.547,22.0,3.592,4.494,63.636,22.0,1.673,4.823,54.545
case1,Auto - Manufacturers,24.0,1.311,79.167,0.388,-0.046,24.0,3.683,2.343,70.833,24.0,1.393,3.732,58.333
case1,Medical - Instruments & Supplies,80.0,1.245,67.5,-0.265,0.04,79.0,0.53,-0.595,50.633,79.0,1.146,0.984,59.494
case1,Chemicals - Specialty,46.0,1.164,76.087,-0.179,-0.375,45.0,-0.754,-1.594,44.444,44.0,1.063,-2.808,54.545
case1,"Hardware, Equipment & Parts",95.0,1.668,61.053,-0.18,-0.724,94.0,1.167,0.543,59.574,94.0,1.024,2.939,58.511
case1,Auto - Parts,44.0,1.395,81.818,0.313,1.529,40.0,-0.566,-1.286,45.0,40.0,1.02,-0.641,57.5
case1,Specialty Retail,141.0,2.079,73.759,0.302,-0.367,141.0,0.699,0.476,56.028,140.0,0.65,2.837,52.143
case1,Software - Infrastructure,233.0,2.262,70.815,0.298,0.167,230.0,-0.335,0.158,48.696,229.0,0.296,0.207,50.655
case1,Software - Application,317.0,2.937,74.132,0.405,0.509,314.0,-0.329,-0.761,47.134,310.0,0.026,0.232,50.0
case1,Information Technology Services,64.0,2.19,68.75,-0.214,-0.572,64.0,0.102,0.138,51.562,64.0,-0.075,1.033,50.0
case1,Medical - Healthcare Information Services,31.0,4.539,83.871,-0.816,2.266,31.0,1.938,-1.572,54.839,31.0,-0.231,-0.327,48.387
case1,Technology Distributors,10.0,1.665,80.0,-0.881,0.537,10.0,3.609,1.961,70.0,10.0,-0.263,-8.094,50.0
case1,Consumer Electronics,11.0,2.418,63.636,-2.381,1.096,11.0,-1.862,-0.051,36.364,11.0,-0.438,-0.229,45.455
case1,Communication Equipment,80.0,2.77,76.25,0.975,1.136,77.0,1.707,3.361,55.844,77.0,-0.516,4.073,48.052
case1,Manufacturing - Tools & Accessories,15.0,0.47,86.667,-0.895,0.163,15.0,-3.066,-1.539,33.333,15.0,-0.653,-1.113,40.0
case1,Construction Materials,15.0,1.927,73.333,0.239,-0.085,15.0,1.883,-1.19,73.333,15.0,-1.168,0.357,46.667
case1,Auto - Dealerships,27.0,3.824,81.481,-0.21,2.119,27.0,-0.755,0.55,44.444,27.0,-3.519,0.064,37.037
case1,Department Stores,20.0,3.702,95.0,1.858,-2.002,20.0,-4.179,-5.353,30.0,20.0,-8.445,-8.33,35.0
case2,Independent Power Producers,10.0,-1.806,30.0,-4.61,-1.701,10.0,3.573,4.426,70.0,10.0,14.4,15.647,80.0
case2,Telecommunications Services,14.0,1.83,78.571,0.48,0.29,13.0,8.892,9.852,76.923,13.0,11.995,14.515,84.615
case2,"Hardware, Equipment & Parts",33.0,-0.075,48.485,0.021,-0.029,31.0,4.84,5.993,67.742,31.0,5.57,3.742,58.065
case2,Auto - Manufacturers,20.0,-1.348,25.0,-0.111,0.7,17.0,4.682,1.899,52.941,17.0,4.924,-2.792,58.824
case2,Communication Equipment,29.0,0.764,55.172,-0.251,-0.656,28.0,6.063,12.038,75.0,28.0,4.613,13.335,57.143
case2,Engineering & Construction,19.0,0.681,68.421,0.448,-0.267,15.0,0.841,3.355,73.333,14.0,4.325,2.904,71.429
case2,Drug Manufacturers - General,16.0,-0.756,25.0,-0.047,-0.554,14.0,0.582,1.366,57.143,14.0,2.698,4.436,50.0
case2,Computer Hardware,48.0,1.232,54.167,0.913,-0.172,45.0,9.335,29.391,64.444,45.0,2.538,25.256,53.333
case2,Construction,16.0,0.778,62.5,0.328,-0.471,15.0,1.195,2.365,53.333,15.0,2.502,3.796,60.0
case2,Auto - Dealerships,17.0,1.394,58.824,-1.731,-0.652,17.0,8.244,10.484,58.824,16.0,2.097,10.884,50.0
case2,Aerospace & Defense,47.0,-1.983,31.915,-1.143,1.574,44.0,2.665,5.966,63.636,42.0,1.966,3.322,54.762
case2,Gold,12.0,1.749,83.333,0.783,-6.659,12.0,-1.658,9.304,41.667,11.0,1.728,11.119,54.545
case2,Internet Content & Information,32.0,0.159,50.0,-0.77,-1.883,28.0,1.932,2.786,53.571,26.0,1.542,1.007,53.846
case2,Information Technology Services,24.0,1.41,66.667,0.188,-1.103,23.0,1.788,0.895,52.174,23.0,1.415,-3.605,56.522
case2,Semiconductors,97.0,0.959,60.825,1.172,0.088,90.0,1.449,6.54,54.444,88.0,1.288,6.192,51.136
case2,Medical - Care Facilities,17.0,0.918,70.588,1.363,1.17,17.0,0.781,3.297,64.706,16.0,1.068,0.647,56.25
case2,Medical - Diagnostics & Research,32.0,1.915,62.5,0.639,0.328,31.0,2.375,1.718,58.065,31.0,0.791,1.843,51.613
case2,Entertainment,15.0,2.057,60.0,0.093,-1.549,15.0,5.72,0.187,60.0,15.0,-0.073,-3.521,46.667
case2,Medical - Instruments & Supplies,31.0,-0.067,45.161,-0.357,-0.061,30.0,-1.465,-3.124,36.667,30.0,-0.253,1.453,50.0
case2,Biotechnology,389.0,0.956,54.756,0.693,0.462,374.0,0.155,2.962,50.267,350.0,-0.885,5.235,48.857
case2,Financial - Capital Markets,42.0,-1.279,40.476,2.659,0.866,42.0,1.92,6.195,54.762,41.0,-0.983,1.504,46.341
case2,Medical - Devices,41.0,0.913,60.976,0.536,-0.915,40.0,1.205,1.18,55.0,40.0,-1.318,-0.034,50.0
