case,mcap_bucket,n_events,o2c1d_median,o2c1d_pos_pct,o2c2d_after_up_median,o2c2d_after_dn_median,fwd1m_n,fwd1m_median,fwd1m_mean,fwd1m_pos_pct,fwd2m_n,fwd2m_median,fwd2m_mean,fwd2m_pos_pct
case1,300M-1B,47.0,8.619,78.723,-0.204,1.592,46.0,0.982,3.928,52.174,43.0,6.522,9.253,67.442
case1,1B-10B,1311.0,3.454,77.498,0.245,0.364,1289.0,1.228,1.347,55.935,1281.0,1.631,2.719,55.269
case1,10B-100B,1123.0,1.94,75.067,0.125,0.044,1101.0,0.542,0.097,53.588,1096.0,1.653,1.248,56.022
case1,100B+,178.0,1.288,67.978,0.115,-0.038,170.0,1.575,0.849,57.059,170.0,3.079,1.382,61.765
case1,sub300M_at_event,6.0,10.255,66.667,13.96,-8.378,6.0,5.597,9.734,50.0,6.0,50.419,54.538,66.667
case2,300M-1B,131.0,0.232,51.908,-0.103,0.787,126.0,-3.669,5.424,46.032,120.0,-1.525,6.113,47.5
case2,1B-10B,800.0,0.332,52.5,0.251,-0.179,766.0,0.228,2.07,50.653,742.0,-2.44,1.412,45.418
case2,10B-100B,536.0,0.173,52.612,0.145,0.04,500.0,1.211,2.641,54.4,490.0,1.147,1.457,52.041
case2,100B+,119.0,-0.413,42.857,0.259,0.503,112.0,2.653,3.275,63.393,111.0,3.162,3.923,58.559
case2,sub300M_at_event,34.0,6.289,55.882,8.187,2.476,34.0,-4.528,22.705,38.235,34.0,-14.676,23.666,44.118
