case,mcap_bucket,metric,pool_n,top_n,cutoff_pct,top_median_pct,top_max_pct
case1,300M-1B,o2c_1day,47,10,27.707,41.182,173.508
case1,300M-1B,o2c_2day_after_plus,36,8,7.18,12.688,15.942
case1,300M-1B,o2c_2day_after_minus,9,2,4.887,16.038,26.518
case1,300M-1B,fwd_1m,46,10,27.066,30.665,55.046
case1,300M-1B,fwd_2m,43,9,25.344,48.155,77.995
case1,1B-10B,o2c_1day,1311,263,8.404,11.867,44.597
case1,1B-10B,o2c_2day_after_plus,1015,203,3.103,5.012,24.197
case1,1B-10B,o2c_2day_after_minus,291,59,2.634,4.357,35.294
case1,1B-10B,fwd_1m,1289,258,9.248,15.201,86.364
case1,1B-10B,fwd_2m,1281,257,13.564,22.101,207.102
case1,10B-100B,o2c_1day,1123,225,4.956,7.584,27.351
case1,10B-100B,o2c_2day_after_plus,839,168,2.078,3.518,19.823
case1,10B-100B,o2c_2day_after_minus,277,56,1.658,3.048,11.267
case1,10B-100B,fwd_1m,1101,221,7.259,11.108,51.107
case1,10B-100B,fwd_2m,1096,220,10.272,16.884,83.028
case1,100B+,o2c_1day,178,36,3.727,5.029,12.998
case1,100B+,o2c_2day_after_plus,121,25,1.525,2.185,7.856
case1,100B+,o2c_2day_after_minus,57,12,1.847,2.922,7.722
case1,100B+,fwd_1m,170,34,7.354,11.882,37.475
case1,100B+,fwd_2m,170,34,11.362,15.675,68.702
case2,300M-1B,o2c_1day,131,27,18.227,31.541,193.701
case2,300M-1B,o2c_2day_after_plus,68,14,9.402,15.637,62.568
case2,300M-1B,o2c_2day_after_minus,61,13,11.707,17.073,36.114
case2,300M-1B,fwd_1m,126,26,24.898,39.994,461.454
case2,300M-1B,fwd_2m,120,24,35.579,59.381,360.364
case2,1B-10B,o2c_1day,800,160,7.655,14.265,75.0
case2,1B-10B,o2c_2day_after_plus,419,84,4.694,7.767,52.475
case2,1B-10B,o2c_2day_after_minus,375,75,3.02,6.716,34.934
case2,1B-10B,fwd_1m,766,154,13.778,27.116,242.561
case2,1B-10B,fwd_2m,742,149,20.431,35.6,215.654
case2,10B-100B,o2c_1day,536,108,3.875,6.181,28.746
case2,10B-100B,o2c_2day_after_plus,282,57,2.407,4.46,19.201
case2,10B-100B,o2c_2day_after_minus,253,51,2.439,4.101,20.968
case2,10B-100B,fwd_1m,500,100,12.007,19.649,138.208
case2,10B-100B,fwd_2m,490,98,15.105,24.964,111.738
case2,100B+,o2c_1day,119,24,2.452,3.58,14.478
case2,100B+,o2c_2day_after_plus,51,11,2.244,2.973,10.21
case2,100B+,o2c_2day_after_minus,68,14,2.574,4.135,24.909
case2,100B+,fwd_1m,112,23,11.413,17.191,61.938
case2,100B+,fwd_2m,111,23,13.619,20.072,92.78
