ticker,event_date,event_type,earnings_date,time_of_day,tod_inferred,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
SGML,2025-11-17,earnings,2025-11-14,AMC,True,6.06,8.21,8.02,35.4785,32.3432,-2.3143,2.9001,6.6977,12.2337,4.829,100.0,2025-11-18,7.56,7.77,2.7778,11.61,12.55,49.4208,61.5187,Basic Materials,Industrial Materials,2326094202.0,358892000.52,359M,24747032.09,893451891.5799999,300M-1B,1B-10B
GRPN,2025-03-12,earnings,2025-03-11,AMC,False,9.77,12.25,13.98,25.3838,43.0911,14.1224,1.4859,3.4195,17.0835,12.6017,100.0,2025-03-13,13.92,14.86,6.7529,19.05,26.45,28.1965,77.9946,Communication Services,Internet Content & Information,661681280.0,156087301.14,156M,10686621.8,531016320.0,300M-1B,300M-1B
NAGE,2024-11-01,earnings,2024-10-31,AMC,True,3.49,4.12,5.86,18.0516,67.9083,42.233,1.8041,3.4501,10.0059,19.6832,100.0,2024-11-04,5.72,5.74,0.3497,7.53,5.38,31.1847,-6.2718,Healthcare,Biotechnology,409211276.0,221975628.0,222M,806545.5,466715762.08,300M-1B,300M-1B
ROOT,2024-10-31,earnings,2024-10-30,AMC,False,40.49,81.48,68.39,101.2349,68.9059,-16.0653,1.5818,4.8236,63.9999,14.2853,100.0,2024-11-01,72.13,71.01,-1.5528,92.86,75.32,30.7703,6.0696,Financial Services,Insurance - Property & Casualty,830301916.0,923895624.19,924M,7524826.185,958547401.0,300M-1B,300M-1B
INOD,2024-05-08,earnings,2024-05-07,AMC,True,6.74,8.65,10.47,28.3383,55.3412,21.0405,2.1494,6.4222,13.1843,8.6172,100.0,2024-05-09,10.18,11.5,12.9666,15.78,16.56,37.2174,44.0,Technology,Information Technology Services,3007231918.0,200628035.07,201M,1441009.725,341901598.26000005,300M-1B,1B-10B
TSHA,2023-08-14,earnings,2023-08-14,BMO,False,0.739,1.52,2.13,105.6834,188.2273,40.1316,2.628,4.4246,40.2147,42.5415,100.0,2023-08-15,2.26,2.18,-3.5398,3.38,2.26,55.0459,3.6697,Healthcare,Biotechnology,1714048326.0,338428856.31,338M,96986.0868,612038460.0,300M-1B,1B-10B
AEHR,2023-01-06,earnings,2023-01-05,AMC,False,17.27,21.0,22.81,21.5981,32.0787,8.619,2.1507,5.9795,10.0425,5.3648,99.8142,2023-01-09,23.53,26.45,12.4097,34.34,29.23,29.8299,10.5104,Technology,Semiconductors,3042158727.0,209354057.7,209M,22602210.7,717448723.74,300M-1B,1B-10B
BAND,2022-11-02,earnings,2022-11-01,AMC,False,12.3,16.28,17.42,32.3577,41.626,7.0025,1.9407,5.5343,16.6731,7.5215,100.0,2022-11-03,17.18,17.05,-0.7567,21.89,21.43,28.3871,25.6891,Technology,Software - Infrastructure,1582935757.0,193646660.22,194M,5049932.3,557741487.94,300M-1B,1B-10B
AEHR,2022-10-07,earnings,2022-10-06,AMC,False,13.87,14.81,17.19,6.7772,23.9366,16.0702,2.234,6.6803,3.0337,3.5831,97.5055,2022-10-10,17.05,16.59,-2.6979,21.66,25.59,30.5606,54.2495,Technology,Semiconductors,3042158727.0,150902380.62,151M,13730790.7,540681436.26,300M-1B,1B-10B
SIG,2019-09-05,earnings,2019-09-05,BMO,False,11.01,14.33,13.97,30.1544,26.8847,-2.5122,1.0667,4.4132,28.2678,6.0919,100.0,2019-09-06,13.82,14.04,1.5919,17.84,17.49,27.0655,24.5726,Consumer Cyclical,Luxury Goods,3727101629.0,263708742.33,264M,29531751.545,568361710.62,300M-1B,1B-10B
