ticker,event_date,event_type,earnings_date,time_of_day,tod_inferred,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
LOW,2025-11-19,earnings,2025-11-19,BMO,False,219.57,230.01,228.41,4.7547,4.0261,-0.6956,0.5348,1.0837,8.8903,3.715,99.6495,2025-11-20,228.08,228.43,0.1535,242.07,276.73,5.9712,21.1443,Consumer Cyclical,Home Improvement,131402872058.3882,1765358049.0,1.8B,609079177.88,127923989830.0,100B+,100B+
ORCL,2025-06-12,earnings,2025-06-11,AMC,False,176.38,189.96,199.86,7.6993,13.3122,5.2116,2.0221,2.8747,3.8076,4.6309,99.3205,2025-06-13,201.58,215.22,6.7665,241.3,244.96,12.1178,13.8184,Technology,Software - Infrastructure,537216632340.0,10914354600.0,10.9B,1218301399.79,574806553560.0,100B+,100B+
MSFT,2025-05-01,earnings,2025-04-30,AMC,False,395.26,431.11,425.4,9.07,7.6254,-1.3245,1.0219,2.0486,8.8754,3.7223,100.0,2025-05-02,431.74,435.28,0.8199,462.97,498.84,6.3614,14.6021,Technology,Software - Infrastructure,3040126757701.0,25072267740.0,25.1B,7965525487.93,3160054122000.0,100B+,100B+
TMUS,2025-01-29,earnings,2025-01-29,BMO,False,221.14,238.0,235.15,7.6241,6.3354,-1.1975,0.7325,1.3936,10.4077,4.5459,99.8734,2025-01-30,239.21,234.37,-2.0233,272.83,268.54,16.41,14.5795,Communication Services,Telecommunications Services,239655157471.0,2083311425.0,2.1B,767864677.44,254480439202.55,100B+,100B+
PLTR,2024-11-05,earnings,2024-11-04,AMC,False,41.41,47.86,51.13,15.5759,23.4726,6.8324,1.3728,2.713,11.3463,8.652,99.5913,2024-11-06,53.44,55.53,3.9109,76.34,68.23,37.4752,22.8705,Technology,Software - Infrastructure,374129812723.0,10679431066.0,10.7B,1715804051.5,117398059100.0,100B+,100B+
AMZN,2024-11-01,earnings,2024-10-31,AMC,False,186.4,199.0,197.93,6.7597,6.1856,-0.5377,0.8731,1.6116,7.742,3.8382,99.4536,2024-11-04,196.45,195.78,-0.3411,218.16,227.61,11.4312,16.258,Consumer Cyclical,Specialty Retail,2859452322000.0,19731215556.71,19.7B,5388486718.52,2129152803000.0,100B+,100B+
NOW,2024-10-24,earnings,2024-10-23,AMC,False,181.54,189.68,191.32,4.4839,5.3872,0.8646,1.0979,1.6089,4.0839,3.3484,99.0959,2024-10-25,191.45,190.17,-0.6686,210.54,219.82,10.7115,15.5913,Technology,Software - Application,116053697112.1639,3253396600.0,3.3B,1049722005.0,197309846560.0,100B+,100B+
TSLA,2024-10-24,earnings,2024-10-23,AMC,False,213.65,244.68,260.48,14.5238,21.919,6.4574,2.1869,3.4225,6.6412,6.4044,100.0,2024-10-25,256.01,269.19,5.1482,338.59,454.13,25.781,68.7024,Consumer Cyclical,Auto - Manufacturers,1627916834000.0,53266050893.44,53.3B,17180743034.5,978289945600.0,100B+,100B+
NFLX,2024-10-18,earnings,2024-10-17,AMC,False,68.77,73.76,76.39,7.2561,11.0804,3.5656,0.9008,1.4724,8.0551,7.5252,99.5845,2024-10-21,76.58,77.21,0.8227,87.13,90.2,12.8481,16.8242,Communication Services,Entertainment,415122977305.0,12202629504.1,12.2B,1990472325.0,321663012000.0,100B+,100B+
ORCL,2024-09-10,earnings,2024-09-09,AMC,False,139.89,154.23,155.89,10.2509,11.4376,1.0763,1.013,1.4889,10.1197,7.6818,99.5677,2024-09-11,156.78,157.18,0.2551,175.41,189.25,11.5982,20.4034,Technology,Software - Infrastructure,537216632340.0,5826265596.9,5.8B,641514697.52,448346810940.0,100B+,100B+
CSCO,2024-08-15,earnings,2024-08-14,AMC,False,45.44,48.75,48.53,7.2843,6.8002,-0.4513,0.4462,1.186,16.3266,5.7338,100.0,2024-08-16,48.64,49.46,1.6859,50.61,56.38,2.3251,13.9911,Technology,Communication Equipment,392184880140.0,2231234692.0,2.2B,929277167.54,191688309328.26,100B+,100B+
UBER,2024-08-06,earnings,2024-08-06,BMO,False,58.48,62.55,64.87,6.9596,10.9268,3.709,1.1452,2.3111,6.0772,4.728,99.0129,2024-08-07,65.56,65.54,-0.0305,69.58,74.59,6.1642,13.8084,Technology,Software - Application,155438416000.0,3459964703.0,3.5B,1098613321.2,132049372000.00002,100B+,100B+
META,2024-02-02,earnings,2024-02-01,AMC,False,394.78,459.6,474.99,16.4193,20.3176,3.3486,0.7878,1.3985,20.8419,14.5286,99.8158,2024-02-05,469.88,459.41,-2.2282,496.09,527.34,7.9842,14.7864,Communication Services,Internet Content & Information,1637608940072.0,40235284773.54,40.2B,6142379422.58,1205725605843.63,100B+,100B+
NFLX,2024-01-24,earnings,2024-01-23,AMC,False,49.22,53.78,54.49,9.2645,10.707,1.3202,0.7324,1.4932,12.6491,7.1707,99.6269,2024-01-25,55.2,56.2,1.8116,58.77,62.92,4.573,11.9573,Communication Services,Entertainment,415122977305.0,14403231085.3,14.4B,1875175354.85,229446492000.0,100B+,100B+
HD,2023-11-14,earnings,2023-11-14,BMO,False,288.07,300.89,303.63,4.4503,5.4015,0.9106,0.4848,1.0931,9.1789,4.9413,99.7955,2023-11-15,304.1,308.19,1.345,354.0,357.9,14.8642,16.1297,Consumer Cyclical,Home Improvement,351973034532.0,2414722327.35,2.4B,841888746.54,302423877798.54,100B+,100B+
NVDA,2023-05-25,earnings,2023-05-24,AMC,False,30.54,38.52,37.98,26.1297,24.3615,-1.4019,1.0657,2.1363,24.5177,11.4036,100.0,2023-05-26,37.89,38.95,2.7976,41.12,46.75,5.5712,20.0257,Technology,Semiconductors,5366058251261.0,58637739780.0,58.6B,10664345610.0,923103960426.18,100B+,100B+
META,2023-04-27,earnings,2023-04-26,AMC,False,209.4,239.89,238.56,14.5606,13.9255,-0.5544,2.8995,3.6565,5.0218,3.8084,99.4286,2023-04-28,239.01,240.32,0.5481,262.52,281.53,9.2377,17.148,Communication Services,Internet Content & Information,1637608940072.0,16984644435.36,17.0B,3927833696.475,605566223562.72,100B+,100B+
NVDA,2023-02-23,earnings,2023-02-22,AMC,False,20.75,23.44,23.66,12.9639,14.0241,0.9386,1.6738,3.6133,7.7454,3.8812,100.0,2023-02-24,23.23,23.29,0.2583,26.53,26.96,13.9116,15.7578,Technology,Semiconductors,5366058251261.0,26451771400.6,26.5B,10156914665.0,575056337643.06,100B+,100B+
