ticker,event_date,event_type,earnings_date,time_of_day,tod_inferred,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
BW,2026-03-04,earnings,2026-03-04,BMO,False,8.1,9.73,11.8,20.1235,45.679,21.2744,2.1942,7.0078,9.171,6.5183,99.812,2026-03-05,12.01,13.29,10.6578,16.75,15.46,26.0346,16.3281,Industrials,Industrial - Machinery,2259139912.0,224701500.0,225M,19009041.5,1349764605.8000002,1B-10B,1B-10B
PLUG,2026-03-03,earnings,2026-03-02,AMC,False,1.81,2.08,2.23,14.9171,23.2044,7.2115,1.7787,5.0171,8.3867,4.6251,99.4356,2026-03-04,2.25,2.48,10.2222,2.41,3.13,-2.8226,26.2097,Industrials,Electrical Equipment & Parts,4082894270.0,501246243.0,501M,174891202.48,2557543320.99,1B-10B,1B-10B
AAOI,2026-02-27,earnings,2026-02-26,AMC,False,53.69,65.93,84.23,22.7975,56.8821,27.7567,2.5493,7.9585,8.9428,7.1473,99.9039,2026-03-02,107.55,102.51,-4.6862,84.59,164.36,-17.4812,60.3356,Technology,Semiconductors,15108108171.0,2096168416.35,2.1B,237938288.575,6758848264.41,1B-10B,10B-100B
BFLY,2026-02-26,earnings,2026-02-26,BMO,False,3.1,4.01,4.67,29.3548,50.6452,16.4589,1.7984,4.7406,16.3231,10.6833,100.0,2026-02-27,4.64,3.79,-18.319,3.83,4.92,1.0554,29.8153,Healthcare,Medical - Devices,1088426219.0,301816029.0,302M,13779715.44,1221862965.64,1B-10B,1B-10B
ACHC,2026-02-25,earnings,2026-02-25,BMO,False,17.17,20.31,20.84,18.2877,21.3745,2.6096,2.9948,4.9007,6.1065,4.3615,100.0,2026-02-26,21.22,22.29,5.0424,22.91,27.58,2.7815,23.7326,Healthcare,Medical - Care Facilities,2392982043.0,243758060.96,244M,46539515.21,1916592842.68,1B-10B,1B-10B
YOU,2026-02-25,earnings,2026-02-25,BMO,False,33.47,40.06,46.51,19.6893,38.9603,16.1008,1.6159,2.8701,12.1846,13.5744,100.0,2026-02-26,46.93,47.12,0.4049,47.44,53.77,0.6791,14.1129,Technology,Software - Application,6484760000.0,439696238.0,440M,44179992.02,4679464120.0,1B-10B,1B-10B
ETSY,2026-02-19,earnings,2026-02-19,BMO,False,44.05,48.56,48.14,10.2384,9.2849,-0.8649,1.1007,2.8882,9.3019,3.2148,99.5965,2026-02-20,49.79,52.18,4.8002,52.49,66.06,0.5941,26.6002,Consumer Cyclical,Specialty Retail,5457482245.0,644048066.58,644M,201352318.5,4568304560.34,1B-10B,1B-10B
CSTM,2026-02-18,earnings,2026-02-18,BMO,False,23.41,25.69,25.64,9.7394,9.5258,-0.1946,1.2882,2.3753,7.5603,4.0104,99.7502,2026-02-19,25.49,25.81,1.2554,22.38,29.96,-13.2894,16.079,Basic Materials,Aluminum,4535171490.0,150125533.2,150M,35204455.35,3490897538.0,1B-10B,1B-10B
ETOR,2026-02-17,earnings,2026-02-17,BMO,False,27.46,31.41,33.07,14.3846,20.4297,5.2849,1.127,2.9092,12.7632,7.0224,99.4737,2026-02-18,32.42,31.84,-1.789,29.38,38.94,-7.7261,22.299,Financial Services,Financial - Capital Markets,3165099375.0,168729754.0,169M,40224388.69,2761466234.62,1B-10B,1B-10B
FSLY,2026-02-12,earnings,2026-02-11,AMC,False,9.31,13.49,16.04,44.898,72.2879,18.9029,1.8933,3.5985,23.7147,20.0883,100.0,2026-02-13,16.09,18.26,13.4866,24.18,24.88,32.4206,36.2541,Technology,Software - Application,3313794055.0,1868526868.0,1.9B,29833566.86,2510260000.0,1B-10B,1B-10B
IRDM,2026-02-12,earnings,2026-02-12,BMO,True,18.46,19.2,22.39,4.0087,21.2893,16.6146,1.3118,3.0353,3.056,7.0139,99.0866,2026-02-13,22.48,23.17,3.0694,26.24,43.41,13.2499,87.3543,Communication Services,Telecommunications Services,4404617815.0,142709382.0,143M,43220483.94,2367244188.16,1B-10B,1B-10B
DIOD,2026-02-11,earnings,2026-02-10,AMC,False,61.7,72.04,78.0,16.7585,26.4182,8.2732,1.2548,2.3729,13.3558,11.1331,99.9753,2026-02-12,78.12,72.08,-7.7317,65.9,90.26,-8.5738,25.222,Technology,Semiconductors,4752982939.0,145476552.0,145M,18176052.49,3583689408.0,1B-10B,1B-10B
ICHR,2026-02-10,earnings,2026-02-09,AMC,False,34.11,42.22,45.27,23.776,32.7177,7.2241,2.3206,4.441,10.2458,7.3672,100.0,2026-02-11,46.0,47.59,3.4565,41.43,64.01,-12.9439,34.503,Technology,Semiconductors,2546501984.0,258039679.05,258M,29245368.82,1573146081.0,1B-10B,1B-10B
FORM,2026-02-05,earnings,2026-02-04,AMC,False,71.57,77.75,83.87,8.6349,17.186,7.8714,1.8782,3.1086,4.5975,5.5285,99.7281,2026-02-06,85.34,90.29,5.8003,91.03,121.07,0.8196,34.0902,Technology,Semiconductors,10291588207.0,322153057.0,322M,110331296.8,6538066224.42,1B-10B,10B-100B
VIAV,2026-01-29,earnings,2026-01-28,AMC,False,21.03,23.01,24.7,9.4151,17.4513,7.3446,1.1971,2.8254,7.8647,6.1766,99.8268,2026-01-30,24.26,24.46,0.8244,33.04,35.3,35.0777,44.3173,Technology,Communication Equipment,12490680258.0,385967140.0,386M,71307298.225,5777524389.0,1B-10B,10B-100B
PL,2025-12-11,earnings,2025-12-10,AMC,False,12.94,15.79,17.47,22.0247,35.0077,10.6396,2.3085,4.0046,9.5406,8.7418,99.9139,2025-12-12,18.44,18.24,-1.0846,26.73,22.42,46.5461,22.9167,Industrials,Aerospace & Defense,13125605400.0,1030288009.0,1.0B,78761294.5,5636782850.0,1B-10B,10B-100B
AMTM,2025-11-25,earnings,2025-11-24,AMC,False,25.37,28.35,30.0,11.7462,18.2499,5.8201,1.0262,3.1441,11.4458,5.8045,100.0,2025-11-26,30.57,29.33,-4.0563,29.2,37.12,-0.4432,26.5598,Industrials,Aerospace & Defense,7391235326.0,316500420.0,317M,33997072.83,7313117250.0,1B-10B,1B-10B
PACS,2025-11-20,earnings,2025-11-19,AMC,False,16.83,25.69,26.14,52.6441,55.3179,1.7517,3.6266,8.9736,14.5163,6.1645,100.0,2025-11-21,25.54,27.5,7.6742,37.24,35.03,35.4182,27.3818,Financial Services,Financial - Conglomerates,6490749894.0,349295906.84,349M,8339514.595,4108293622.8,1B-10B,1B-10B
DY,2025-11-19,earnings,2025-11-19,BMO,False,296.2,324.48,325.29,9.5476,9.8211,0.2496,0.9905,1.9854,9.6393,4.9466,99.6495,2025-11-20,334.41,323.37,-3.3013,347.11,368.21,7.3414,13.8665,Industrials,Engineering & Construction,12889986411.0,359985106.11,360M,83110376.88,9764750068.71,1B-10B,10B-100B
SRRK,2025-11-14,earnings,2025-11-14,BMO,False,30.07,34.98,37.41,16.3286,24.4097,6.9468,2.6485,4.1757,6.1653,5.8457,99.8403,2025-11-17,36.81,36.47,-0.9237,44.01,44.74,20.6745,22.6762,Healthcare,Biotechnology,5894339320.0,266834568.87,267M,48217350.025,4482765480.0,1B-10B,1B-10B
FLY,2025-11-13,earnings,2025-11-12,AMC,False,18.31,22.67,21.42,23.8121,16.9853,-5.5139,3.2386,5.2009,7.3526,3.2658,98.5507,2025-11-14,20.97,22.95,9.4421,20.28,33.41,-11.634,45.5773,Industrials,Aerospace & Defense,6300448457.0,174890979.9,175M,32813817.12,3432238198.2000003,1B-10B,1B-10B
HUN,2025-11-07,earnings,2025-11-06,AMC,False,7.42,7.74,8.18,4.3127,10.2426,5.6848,1.3763,2.9138,3.1336,3.5152,99.1468,2025-11-10,8.35,8.29,-0.7186,10.66,11.51,28.5887,38.842,Basic Materials,Chemicals,2521518620.0,111773507.74,112M,42240482.095,1434354820.0,1B-10B,1B-10B
TXG,2025-11-07,earnings,2025-11-06,AMC,False,13.0,14.31,15.25,10.0769,17.3077,6.5688,1.1278,3.9212,8.9352,4.4139,99.8707,2025-11-10,15.71,17.08,8.7206,17.53,19.8,2.6347,15.9251,Healthcare,Medical - Healthcare Information Services,2655923453.0,119403230.0,119M,31543719.59,1967111728.25,1B-10B,1B-10B
HAE,2025-11-06,earnings,2025-11-06,BMO,False,50.72,56.88,67.11,12.1451,32.3147,17.9852,0.4853,1.8056,25.0248,17.897,100.0,2025-11-07,67.31,68.36,1.5599,83.84,82.03,22.6448,19.9971,Healthcare,Medical - Instruments & Supplies,2984855071.0,299935662.54,300M,27829204.66,3118695654.0,1B-10B,1B-10B
ZETA,2025-11-05,earnings,2025-11-04,AMC,False,16.7,18.82,19.94,12.6946,19.4012,5.9511,1.697,3.5202,7.4807,5.5115,99.5479,2025-11-06,19.9,19.58,-1.608,19.18,23.65,-2.0429,20.7865,Technology,Software - Application,4137900000.0,436197470.0,436M,130047369.4,4498842860.0,1B-10B,1B-10B
INSP,2025-11-04,earnings,2025-11-03,AMC,False,73.71,80.01,85.01,8.547,15.3303,6.2492,1.0143,2.8721,8.4265,5.3377,99.6819,2025-11-05,84.52,82.82,-2.0114,136.81,99.03,65.1896,19.5726,Healthcare,Medical - Devices,1769391179.0,319267126.42,319M,74918060.52,2449406136.53,1B-10B,1B-10B
