ticker,event_date,event_type,earnings_date,time_of_day,tod_inferred,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
LLY,2026-04-30,earnings,2026-04-30,BMO,False,851.21,898.78,934.6,5.5885,9.7966,3.9854,1.4479,2.6221,3.8597,3.7362,99.4565,2026-05-01,948.95,963.33,1.5154,,,,,Healthcare,Drug Manufacturers - General,951272204462.9998,7698036642.8,7.7B,2432926812.0,880151138600.0,100B+,100B+
PWR,2026-04-30,earnings,2026-04-30,BMO,False,628.6,699.61,727.77,11.2965,15.7763,4.0251,1.3459,2.2886,8.3932,6.8934,100.0,2026-05-01,736.55,742.21,0.7684,,,,,Industrials,Engineering & Construction,114917448600.0,1766006682.0,1.8B,558020059.22,109209166200.0,100B+,100B+
QCOM,2026-04-30,earnings,2026-04-29,AMC,False,156.0,172.05,179.58,10.2885,15.1154,4.3766,2.3174,2.3567,4.4396,6.4137,99.9269,2026-05-01,179.13,177.01,-1.1835,,,,,Technology,Semiconductors,221666740000.0,10978210266.0,11.0B,1286481048.1,189277320000.0,100B+,100B+
TXN,2026-04-23,earnings,2026-04-22,AMC,False,236.31,260.31,282.23,10.1562,19.4321,8.4207,1.3458,2.2723,7.5464,8.5516,100.0,2026-04-24,287.83,277.14,-3.714,,,,,Technology,Semiconductors,268632150810.0,7241767793.0,7.2B,1152660546.0,256855547390.00003,100B+,100B+
GEV,2026-04-22,earnings,2026-04-22,BMO,True,991.3,1076.16,1127.56,8.5605,13.7456,4.7762,1.4783,2.6925,5.7906,5.105,99.6132,2026-04-23,1147.89,1149.53,0.1429,,,,,Utilities,Renewable Utilities,288062465600.0,4718538669.04,4.7B,2137107985.98,302997923200.0,100B+,100B+
MCK,2026-02-05,earnings,2026-02-04,AMC,False,822.0,862.0,957.8,4.8662,16.5207,11.1137,0.4325,1.2485,11.2515,13.232,99.654,2026-02-06,955.0,948.68,-0.6618,928.69,873.43,-2.1071,-7.9321,Healthcare,Medical - Distribution,107422721470.8354,2150407543.4,2.2B,505314624.91,117318048600.0,100B+,100B+
VZ,2026-01-30,earnings,2026-01-30,BMO,True,39.81,42.01,44.52,5.5262,11.8312,5.9748,0.3588,1.0057,15.4005,11.7637,99.904,2026-02-02,44.58,44.61,0.0673,51.2,49.4,14.7725,10.7375,Communication Services,Telecommunications Services,211474680000.0,5501990844.0,5.5B,1108495611.85,185915529171.12003,100B+,100B+
ANET,2025-08-06,earnings,2025-08-05,AMC,True,118.12,133.79,138.78,13.2662,17.4907,3.7297,1.5985,2.8203,8.2994,6.2017,99.893,2025-08-07,139.08,139.28,0.1438,140.01,145.29,0.5241,4.315,Technology,Computer Hardware,179482011693.0,3607877538.0,3.6B,979216064.145,174747534605.64,100B+,100B+
GEV,2025-07-23,earnings,2025-07-23,BMO,False,548.99,595.75,629.03,8.5175,14.5795,5.5862,1.1351,1.9479,7.5038,7.4847,99.696,2025-07-24,632.27,623.97,-1.3127,607.07,633.41,-2.7085,1.5129,Utilities,Renewable Utilities,288062465600.0,4454350139.0,4.5B,1299357577.335,169032941600.0,100B+,100B+
ORCL,2025-06-12,earnings,2025-06-11,AMC,False,176.38,189.96,199.86,7.6993,13.3122,5.2116,2.0221,2.8747,3.8076,4.6309,99.3205,2025-06-13,201.58,215.22,6.7665,241.3,244.96,12.1178,13.8184,Technology,Software - Infrastructure,537216632340.0,10914354600.0,10.9B,1218301399.79,574806553560.0,100B+,100B+
NOW,2025-04-24,earnings,2025-04-23,AMC,False,162.54,180.06,187.71,10.7789,15.4854,4.2486,2.3095,3.543,4.6671,4.3707,99.8758,2025-04-25,188.8,189.05,0.1324,205.48,202.29,8.6908,7.0034,Technology,Software - Application,116053697112.1639,5709293505.0,5.7B,1453079092.75,193586824680.0,100B+,100B+
ADI,2025-02-19,earnings,2025-02-19,BMO,False,220.22,230.02,241.66,4.4501,9.7357,5.0604,1.0131,1.6996,4.3925,5.7282,99.632,2025-02-20,243.54,243.82,0.115,204.4,178.5,-16.1677,-26.7903,Technology,Semiconductors,204874874485.0,2365754736.0,2.4B,697519727.01,117979416580.62,100B+,100B+
