ticker,event_date,event_type,earnings_date,time_of_day,tod_inferred,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
DOCN,2026-05-05,earnings,2026-05-05,BMO,False,108.81,130.2,152.77,19.6581,40.4007,17.3349,2.1217,5.2913,9.2651,7.6354,99.8441,,,,,,,,,Technology,Software - Infrastructure,16241125680.0,2282583928.7,2.3B,348215998.22,15943688280.000002,10B-100B,10B-100B
STRL,2026-05-05,earnings,2026-05-04,AMC,False,529.49,727.45,806.0,37.3869,52.2219,10.798,2.226,4.1901,16.7952,12.4633,100.0,,,,,,,,,Industrials,Engineering & Construction,26124485235.0,1949402078.0,1.9B,206391412.375,24732878118.0,10B-100B,10B-100B
TEAM,2026-05-01,earnings,2026-04-30,AMC,False,68.59,82.92,88.88,20.8923,29.5816,7.1877,2.1359,4.3596,9.7814,6.7853,99.9617,2026-05-04,88.17,93.16,5.6595,,,,,Technology,Software - Application,22327316775.0,2433934360.0,2.4B,455598057.25,23346493117.2,10B-100B,10B-100B
FTAI,2026-04-30,earnings,2026-04-29,AMC,False,213.11,232.85,249.67,9.2628,17.1555,7.2235,2.3199,3.8692,3.9928,4.4338,99.8184,2026-05-01,245.92,239.95,-2.4276,,,,,Industrials,Rental & Leasing Services,28345099912.0,849553357.35,850M,290099169.84,25611890619.24,10B-100B,10B-100B
SANM,2026-04-28,earnings,2026-04-27,AMC,False,188.08,204.98,215.46,8.9855,14.5576,5.1127,2.2602,3.8456,3.9756,3.7855,99.6099,2026-04-29,217.67,208.67,-4.1347,,,,,Technology,"Hardware, Equipment & Parts",12640489822.0,696862278.0,697M,80833146.585,11548167983.1,10B-100B,10B-100B
ESLT,2026-03-17,earnings,2026-03-17,BMO,False,874.5,933.8,1014.33,6.781,15.9897,8.6239,1.7915,2.5467,3.7852,6.2785,99.7299,2026-03-18,974.0,953.57,-2.0975,872.58,,-8.4933,,Industrials,Aerospace & Defense,129352708740.0,441971982.24,442M,183423544.54,47439808368.0,10B-100B,100B+
IOT,2026-03-06,earnings,2026-03-05,AMC,False,29.58,32.19,35.36,8.8235,19.5402,9.8478,1.3261,3.3663,6.6537,5.8046,99.3377,2026-03-09,35.2,34.16,-2.9545,29.3,,-14.2272,,Technology,Software - Infrastructure,19710457711.0,1181087648.0,1.2B,213944307.5,20281691666.08,10B-100B,10B-100B
MRVL,2026-03-06,earnings,2026-03-05,AMC,False,75.68,84.72,89.57,11.945,18.3536,5.7247,2.0218,2.6752,5.9081,6.8607,99.9016,2026-03-09,87.93,92.65,5.3679,114.45,,23.5294,,Technology,Semiconductors,143848341000.0,8067668427.0,8.1B,961949860.93,78325203060.0,10B-100B,100B+
DELL,2026-02-27,earnings,2026-02-26,AMC,False,121.45,137.37,148.08,13.1083,21.9267,7.7965,1.399,2.9118,9.3697,7.5304,99.8747,2026-03-02,146.76,153.55,4.6266,164.13,208.95,6.8903,36.0795,Technology,Computer Hardware,161305174411.0,4957066848.0,5.0B,952435536.82,99954262990.08,10B-100B,100B+
CRCL,2026-02-25,earnings,2026-02-25,BMO,False,61.37,73.77,83.14,20.2053,35.4734,12.7016,2.2296,4.9034,9.0622,7.2344,98.895,2026-02-26,81.57,87.21,6.9143,93.66,94.35,7.3959,8.1871,Financial Services,Financial - Capital Markets,33050494931.0,5308480686.0,5.3B,680466262.74,22142616422.34,10B-100B,10B-100B
DRS,2026-02-24,earnings,2026-02-24,BMO,False,38.14,39.79,43.82,4.3262,14.8925,10.1282,0.9989,2.459,4.331,6.0564,95.7615,2026-02-25,43.82,42.36,-3.3318,46.53,40.72,9.8442,-3.8716,Industrials,Aerospace & Defense,12603767894.0,132270670.0,132M,41236094.76,11689510840.0,10B-100B,10B-100B
KEYS,2026-02-24,earnings,2026-02-23,AMC,False,245.0,277.72,301.48,13.3551,23.0531,8.5554,1.8129,1.9789,7.3669,11.6496,99.9649,2026-02-25,301.48,302.18,0.2322,281.07,340.64,-6.9859,12.7275,Technology,"Hardware, Equipment & Parts",62024059950.0,1853534313.16,1.9B,256664923.23,51704724440.0,10B-100B,10B-100B
COIN,2026-02-13,earnings,2026-02-12,AMC,True,141.09,153.7,164.32,8.9376,16.4647,6.9096,2.1572,4.1242,4.143,3.9922,99.2586,2026-02-17,162.48,166.02,2.1787,202.29,206.33,21.8468,24.2802,Financial Services,Financial - Data & Stock Exchanges,54704729127.0,5325631247.04,5.3B,2177646593.3,43291663889.76,10B-100B,10B-100B
MGA,2026-02-13,earnings,2026-02-13,BMO,False,57.82,63.19,68.73,9.2874,18.8689,8.7672,0.6652,1.7386,13.9625,10.8528,99.9012,2026-02-17,66.65,66.82,0.2551,54.15,60.56,-18.9614,-9.3685,Consumer Cyclical,Auto - Parts,21902171536.0,592789377.0,593M,83671311.765,19161580350.0,10B-100B,10B-100B
SOLS,2026-02-11,earnings,2026-02-11,BMO,False,63.8,67.58,74.95,5.9248,17.4765,10.9056,1.1144,2.4911,5.3163,7.0155,100.0,2026-02-12,78.66,78.03,-0.8009,73.27,79.24,-6.1002,1.5507,Basic Materials,Chemicals - Specialty,13866789118.0,583464239.35,583M,164093368.725,11902380261.35,10B-100B,10B-100B
VRT,2026-02-11,earnings,2026-02-11,BMO,False,199.62,233.25,248.51,16.847,24.4915,6.5423,1.9313,3.5309,8.7232,6.9364,99.8415,2026-02-12,243.95,236.51,-3.0498,264.74,301.16,11.9361,27.335,Industrials,Electrical Equipment & Parts,141017869618.0,4918882685.0,4.9B,840623818.0,95454881864.16,10B-100B,100B+
GFS,2026-02-11,earnings,2026-02-11,BMO,False,41.9,43.69,48.74,4.2721,16.3246,11.5587,1.1174,2.9101,3.8234,5.6096,97.8585,2026-02-12,49.24,48.7,-1.0967,43.77,48.31,-10.1232,-0.8008,Technology,Semiconductors,40145503866.0,375362288.06,375M,164117898.815,27119776277.6,10B-100B,10B-100B
GNRC,2026-02-11,earnings,2026-02-11,BMO,False,182.3,192.0,214.99,5.3209,17.932,11.974,1.3655,2.993,3.8965,5.9914,99.2543,2026-02-12,218.74,215.73,-1.3761,202.48,204.4,-6.1419,-5.2519,Industrials,Industrial - Machinery,15870407711.0,920854842.55,921M,177812306.24,12656177728.19,10B-100B,10B-100B
ROIV,2026-02-06,earnings,2026-02-06,BMO,False,21.14,24.48,25.82,15.7994,22.1381,5.4739,0.8106,2.0717,19.4921,10.686,99.9228,2026-02-09,26.35,27.67,5.0095,29.58,28.21,6.9028,1.9516,Healthcare,Biotechnology,21134654295.0,621022665.82,621M,114302082.87,18479399820.0,10B-100B,10B-100B
RRX,2026-02-05,earnings,2026-02-04,AMC,False,178.3,190.0,200.0,6.562,12.1705,5.2632,0.9563,2.5439,6.8619,4.7843,99.7776,2026-02-06,202.18,211.8,4.7581,201.4,207.65,-4.9103,-1.9594,Industrials,Industrial - Machinery,13964965024.0,963441000.0,963M,112107400.0,13313914600.0,10B-100B,10B-100B
SITM,2026-02-05,earnings,2026-02-04,AMC,False,347.96,384.42,410.29,10.4782,17.913,6.7296,2.2213,3.9034,4.7171,4.5891,99.5507,2026-02-06,424.86,418.69,-1.4522,355.3,406.69,-15.1401,-2.8661,Technology,Semiconductors,22363104992.0,545633182.88,546M,79301094.12,10830343072.0,10B-100B,10B-100B
STX,2026-01-28,earnings,2026-01-27,AMC,False,371.76,395.19,442.93,6.3025,19.1441,12.0803,1.999,4.2474,3.1528,4.5072,99.4554,2026-01-29,450.27,446.57,-0.8217,379.52,391.76,-15.0144,-12.2736,Technology,Computer Hardware,181355287585.0,6533128914.0,6.5B,1021194171.34,99317747426.56,10B-100B,100B+
AKAM,2025-11-07,earnings,2025-11-06,AMC,False,73.0,78.9,83.74,8.0822,14.7123,6.1343,0.5207,1.5275,15.5222,9.6317,99.724,2025-11-10,83.81,87.12,3.9494,86.45,91.27,-0.7691,4.7635,Technology,Software - Infrastructure,21743848052.0,806349208.0,806M,121079434.18,12328454020.0,10B-100B,10B-100B
DDOG,2025-11-06,earnings,2025-11-06,BMO,False,154.98,178.89,190.82,15.4278,23.1256,6.6689,1.0009,2.5143,15.4134,9.1975,99.8702,2025-11-07,184.29,191.24,3.7712,152.57,125.49,-20.2207,-34.3809,Technology,Software - Application,71170685387.0,4065846201.06,4.1B,483506948.47,67924325936.46,10B-100B,10B-100B
LITE,2025-11-05,earnings,2025-11-04,AMC,False,188.36,218.5,232.75,16.0013,23.5666,6.5217,2.4603,3.8162,6.5038,6.1755,99.884,2025-11-06,243.72,239.68,-1.6576,342.56,348.26,42.9239,45.3021,Technology,Communication Equipment,77206386000.0,2595790925.0,2.6B,443164514.5,18107950000.0,10B-100B,10B-100B
RIVN,2025-11-05,earnings,2025-11-04,AMC,False,12.5,13.34,15.42,6.72,23.36,15.5922,0.9366,2.8478,7.1749,8.2027,98.8048,2025-11-06,15.26,15.22,-0.2621,17.61,19.89,15.703,30.6833,Consumer Cyclical,Auto - Manufacturers,19694507516.0,3047772252.0,3.0B,417533488.08,19375310184.0,10B-100B,10B-100B
TWLO,2025-10-31,earnings,2025-10-30,AMC,False,112.86,126.85,134.88,12.3959,19.5109,6.3303,2.266,3.7919,5.4704,5.1455,99.7449,2025-11-03,135.69,136.1,0.3022,128.12,136.24,-5.8633,0.1029,Communication Services,Internet Content & Information,29258964731.0,1381198176.0,1.4B,222667116.41,20471258236.8,10B-100B,10B-100B
SPXC,2025-10-31,earnings,2025-10-30,AMC,False,198.85,208.82,223.89,5.0138,12.5924,7.2167,0.7045,1.5281,7.1165,8.2407,99.4221,2025-11-03,225.31,215.13,-4.5182,209.57,205.44,-2.5845,-4.5043,Industrials,Industrial - Machinery,10464171312.0,256980942.0,257M,47995823.695,11209016803.71,10B-100B,10B-100B
NET,2025-10-31,earnings,2025-10-30,AMC,False,222.5,236.5,253.3,6.2921,13.8427,7.1036,0.9875,2.1097,6.3721,6.5614,98.767,2025-11-03,254.91,248.11,-2.6676,204.35,197.66,-17.6373,-20.3337,Technology,Software - Infrastructure,70916985778.0,2402069230.0,2.4B,455380143.94,89509657756.90001,10B-100B,10B-100B
ILMN,2025-10-31,earnings,2025-10-30,AMC,False,99.01,106.91,123.54,7.979,24.7753,15.5551,0.696,2.5643,11.4635,9.6615,99.7488,2025-11-03,121.13,119.99,-0.9411,127.95,141.33,6.6339,17.7848,Healthcare,Medical - Diagnostics & Research,22044410000.0,839738442.0,840M,131451941.7,18691602000.0,10B-100B,10B-100B
