ticker,event_date,event_type,earnings_date,time_of_day,tod_inferred,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
APPS,2025-06-17,earnings,2025-06-16,AMC,False,4.81,5.54,7.54,15.1767,56.7568,36.1011,3.3081,7.0892,4.5878,8.0061,99.6614,2025-06-18,7.68,6.74,-12.2396,5.55,3.97,-17.6558,-41.0979,Technology,Software - Application,478400733.0,581250306.0,581M,17092699.5,904045494.82,300M-1B,300M-1B
ORGO,2025-02-28,earnings,2025-02-27,AMC,False,3.07,4.06,6.21,32.2476,102.2801,52.9557,1.5372,3.7502,20.9781,27.2732,100.0,2025-03-03,5.99,5.41,-9.6828,4.28,4.96,-20.8872,-8.3179,Healthcare,Drug Manufacturers - Specialty & Generic,355048250.0,366372866.61,366M,1002156.315,799068943.08,300M-1B,300M-1B
APPS,2025-02-06,earnings,2025-02-05,AMC,False,2.54,3.2,4.99,25.9843,96.4567,55.9375,5.7868,8.6764,4.4903,11.1172,99.8744,2025-02-07,4.64,4.9,5.6034,2.88,2.81,-41.2245,-42.6531,Technology,Software - Application,478400733.0,606425219.0,606M,5937604.375,598300665.6700001,300M-1B,300M-1B
NAGE,2024-11-01,earnings,2024-10-31,AMC,True,3.49,4.12,5.86,18.0516,67.9083,42.233,1.8041,3.4501,10.0059,19.6832,100.0,2024-11-04,5.72,5.74,0.3497,7.53,5.38,31.1847,-6.2718,Healthcare,Biotechnology,409211276.0,221975628.0,222M,806545.5,466715762.08,300M-1B,300M-1B
APPS,2024-08-08,earnings,2024-08-07,AMC,False,1.78,2.09,2.88,17.4157,61.7978,37.799,3.1389,6.3734,5.5484,9.6962,99.8512,2024-08-09,2.87,3.12,8.7108,2.72,3.13,-12.8205,0.3205,Technology,Software - Application,478400733.0,200615356.8,201M,3877009.555,345311807.04,300M-1B,300M-1B
REAL,2024-03-01,earnings,2024-02-29,AMC,False,1.77,2.16,2.76,22.0339,55.9322,27.7778,1.3256,3.6276,16.6218,15.4185,100.0,2024-03-04,2.76,3.2,15.942,3.6,3.77,12.5,17.8125,Consumer Cyclical,Luxury Goods,2709004298.0,101899318.68,102M,3957396.955,799663300.8,300M-1B,1B-10B
TSHA,2023-08-14,earnings,2023-08-14,BMO,False,0.739,1.52,2.13,105.6834,188.2273,40.1316,2.628,4.4246,40.2147,42.5415,100.0,2023-08-15,2.26,2.18,-3.5398,3.38,2.26,55.0459,3.6697,Healthcare,Biotechnology,1714048326.0,338428856.31,338M,96986.0868,612038460.0,300M-1B,1B-10B
TDUP,2023-03-07,earnings,2023-03-06,AMC,False,1.62,1.87,2.45,15.4321,51.2346,31.016,2.7717,9.5057,5.5678,5.3899,100.0,2023-03-08,2.395,2.29,-4.3841,2.2,3.15,-3.9301,37.5546,Consumer Cyclical,Specialty Retail,553585247.0,122701323.85,123M,904432.64,316150080.05,300M-1B,300M-1B
PHVS,2022-12-08,earnings,2022-12-08,BMO,False,2.51,4.19,11.46,66.9323,356.5737,173.5084,3.8943,6.4688,17.1872,55.1219,100.0,2022-12-09,9.86,8.62,-12.5761,8.75,9.48,1.5081,9.9768,Healthcare,Biotechnology,2043993719.0,926358786.0,926M,52143.0,749573376.5400001,300M-1B,1B-10B
PTGX,2020-05-08,earnings,2020-05-07,AMC,False,7.73,9.84,14.2,27.2962,83.6999,44.3089,3.237,6.5553,8.4325,12.7682,99.8936,2020-05-11,13.65,14.63,7.1795,16.2,16.29,10.7314,11.3465,Healthcare,Biotechnology,6427921731.0,502075562.8,502M,789320.3,913221496.6,300M-1B,1B-10B
