ticker,event_date,event_type,earnings_date,time_of_day,tod_inferred,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
CSCO,2025-11-13,earnings,2025-11-12,AMC,False,73.96,77.95,77.38,5.3948,4.6241,-0.7312,0.5613,1.2138,9.6116,3.8095,99.697,2025-11-14,76.58,78.0,1.8543,77.55,75.19,-0.5769,-3.6026,Technology,Communication Equipment,392184880140.0,4460069141.88,4.5B,1186041841.89,305642723589.96,100B+,100B+
ISRG,2025-10-22,earnings,2025-10-21,AMC,False,462.74,543.0,527.03,17.3445,13.8933,-2.9411,0.5264,1.7119,32.9507,8.1157,100.0,2025-10-23,525.37,551.3,4.9356,561.61,577.34,1.8701,4.7234,Healthcare,Medical - Instruments & Supplies,169766464676.4951,4399391884.51,4.4B,970127354.84,186654525890.0,100B+,100B+
APP,2025-02-13,earnings,2025-02-12,AMC,False,380.32,499.34,471.67,31.2947,24.0192,-5.5413,2.229,4.0719,14.0401,5.8988,99.7921,2025-02-14,473.56,510.13,7.7224,278.84,229.81,-45.3394,-54.9507,Technology,Software - Application,164842158162.0,9149879163.0,9.1B,1447814210.06,158452588681.7,100B+,100B+
NFLX,2025-01-22,earnings,2025-01-21,AMC,False,86.97,99.8,95.4,14.7522,9.693,-4.4088,0.7065,1.52,20.8807,6.377,99.8726,2025-01-23,95.78,98.49,2.8294,98.85,99.73,0.3655,1.259,Communication Services,Entertainment,415122977305.0,13616637570.0,13.6B,2540546729.55,401710320000.0,100B+,100B+
LLY,2024-08-08,earnings,2024-08-08,BMO,False,772.14,875.0,845.31,13.3214,9.4763,-3.3931,1.2807,1.8333,10.4017,5.169,100.0,2024-08-09,860.0,891.68,3.6837,901.25,919.74,1.0733,3.1469,Healthcare,Drug Manufacturers - General,951272204462.9998,7975415319.0,8.0B,2777531514.59,796063084710.0,100B+,100B+
AVGO,2024-06-13,earnings,2024-06-12,AMC,False,149.55,171.0,167.9,14.343,12.2701,-1.8129,1.1767,2.3196,12.1893,5.2898,100.0,2024-06-14,168.69,173.5,2.8514,155.98,166.13,-10.098,-4.2478,Technology,Semiconductors,1985247131000.0,14953341900.0,15.0B,3604655109.65,794951093000.0,100B+,100B+
NVDA,2023-05-25,earnings,2023-05-24,AMC,False,30.54,38.52,37.98,26.1297,24.3615,-1.4019,1.0657,2.1363,24.5177,11.4036,100.0,2023-05-26,37.89,38.95,2.7976,41.12,46.75,5.5712,20.0257,Technology,Semiconductors,5366058251261.0,58637739780.0,58.6B,10664345610.0,923103960426.18,100B+,100B+
MSFT,2023-04-26,earnings,2023-04-25,AMC,False,275.42,296.7,295.37,7.7264,7.2435,-0.4483,1.1001,1.7746,7.0235,4.0818,100.0,2023-04-27,295.97,304.83,2.9935,332.89,335.85,9.2051,10.1762,Technology,Software - Infrastructure,3040126757701.0,19080665704.0,19.1B,7028935357.16,2194135369100.0,100B+,100B+
CRM,2022-06-01,earnings,2022-05-31,AMC,False,160.24,178.01,176.07,11.0896,9.8789,-1.0898,1.4741,2.9132,7.5231,3.3911,99.9039,2022-06-02,175.0,188.4,7.6571,172.2,189.65,-8.5987,0.6635,Technology,Software - Application,180252674504.9239,6521175018.0,6.5B,1212758105.5,167264679788.34,100B+,100B+
QCOM,2021-11-04,earnings,2021-11-03,AMC,False,138.48,156.325,156.11,12.8863,12.7311,-0.1375,0.6407,1.2309,20.1125,10.3429,99.9664,2021-11-05,157.075,163.03,3.7912,183.72,185.95,12.6909,14.0588,Technology,Semiconductors,221666740000.0,7543466242.8,7.5B,830722196.55,164539940000.0,100B+,100B+
PANW,2019-09-05,earnings,2019-09-04,AMC,False,200.4898,218.0198,212.0498,8.7436,5.7659,-2.7383,0.7759,1.6399,11.2684,3.516,99.7208,2019-09-06,211.7998,215.9198,1.9452,212.8098,233.5198,-1.4403,8.1512,Technology,Software - Infrastructure,146933841454.0,8837098865.0222,8.8B,1364866574.37,144514339951.9352,100B+,100B+
NOW,2019-04-25,earnings,2019-04-24,AMC,False,242.7,261.02,260.69,7.5484,7.4124,-0.1264,1.3232,2.2794,5.7046,3.2519,99.7081,2019-04-26,260.0,267.08,2.7231,266.65,275.34,-0.161,3.0927,Technology,Software - Application,116053697112.1639,6227102030.0,6.2B,1668752647.5,268851682520.0,100B+,100B+
