ticker,event_date,event_type,earnings_date,time_of_day,tod_inferred,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
CVLT,2026-04-28,earnings,2026-04-28,BMO,False,88.41,98.0,97.98,10.8472,10.8246,-0.0204,1.3614,3.0539,7.9677,3.5445,99.9269,2026-04-29,98.47,101.18,2.7521,,,,,Technology,Software - Application,4495502912.0,182833423.44,183M,69347714.315,4308611712.0,1B-10B,1B-10B
MBLY,2026-04-23,earnings,2026-04-23,BMO,False,7.9,8.95,8.7,13.2911,10.1266,-2.7933,1.7317,2.9106,7.6751,3.4792,99.5418,2026-04-24,8.86,9.23,4.1761,,,,,Consumer Cyclical,Auto - Parts,7516870197.0,197390820.0,197M,43105877.515,7085240597.7,1B-10B,1B-10B
NCNO,2026-04-01,earnings,2026-03-31,AMC,False,14.98,18.37,16.57,22.6302,10.6142,-9.7986,1.1312,3.4924,20.006,3.0392,100.0,2026-04-02,16.02,17.1,6.7416,17.99,,5.2047,,Technology,Software - Application,1865924466.0,212992768.4,213M,29934909.5,1900329969.47,1B-10B,1B-10B
BRZE,2026-03-25,earnings,2026-03-24,AMC,False,18.02,22.54,21.6,25.0832,19.8668,-4.1704,1.2671,4.2257,19.7964,4.7014,100.0,2026-03-26,21.79,23.31,6.9757,23.25,,-0.2574,,Technology,Software - Application,2245993054.0,254385511.2,254M,42249532.63,2450491876.8,1B-10B,1B-10B
ETSY,2026-02-19,earnings,2026-02-19,BMO,False,44.05,48.56,48.14,10.2384,9.2849,-0.8649,1.1007,2.8882,9.3019,3.2148,99.5965,2026-02-20,49.79,52.18,4.8002,52.49,66.06,0.5941,26.6002,Consumer Cyclical,Specialty Retail,5457482245.0,644048066.58,644M,201352318.5,4568304560.34,1B-10B,1B-10B
GLBE,2026-02-18,earnings,2026-02-18,BMO,False,29.7,36.48,34.81,22.8283,17.2054,-4.5779,0.9252,2.6777,24.6737,6.4254,100.0,2026-02-19,34.99,36.24,3.5724,32.34,32.5,-10.7616,-10.3201,Consumer Cyclical,Specialty Retail,5945485334.0,293153041.58,293M,50404275.0,5898032350.0,1B-10B,1B-10B
FLY,2025-11-13,earnings,2025-11-12,AMC,False,18.31,22.67,21.42,23.8121,16.9853,-5.5139,3.2386,5.2009,7.3526,3.2658,98.5507,2025-11-14,20.97,22.95,9.4421,20.28,33.41,-11.634,45.5773,Industrials,Aerospace & Defense,6300448457.0,174890979.9,175M,32813817.12,3432238198.2000003,1B-10B,1B-10B
COGT,2025-11-10,earnings,2025-11-07,AMC,True,14.82,32.76,32.46,121.0526,119.0283,-0.9158,1.1592,3.3361,104.4298,35.6784,99.9478,2025-11-11,31.11,33.42,7.4253,40.04,35.28,19.8085,5.5655,Healthcare,Biotechnology,6007048688.0,756033228.42,756M,35768977.14,5546375280.0,1B-10B,1B-10B
NGD,2025-10-29,earnings,2025-10-28,AMC,False,6.33,7.03,7.0,11.0585,10.5845,-0.4267,1.9912,2.8286,5.5536,3.7419,99.9749,2025-10-30,7.1,7.36,3.662,8.28,8.71,12.5,18.3424,Basic Materials,Gold,12057999832.0,284886700.0,285M,122036439.0,5542088328.0,1B-10B,10B-100B
IREN,2025-08-29,earnings,2025-08-28,AMC,False,23.04,27.5,26.48,19.3576,14.9306,-3.7091,2.363,4.639,8.1919,3.2185,100.0,2025-09-02,25.59,29.11,13.7554,47.08,58.22,61.7314,100.0,Financial Services,Financial - Capital Markets,20183857598.0,2027012224.0,2.0B,432432673.805,9449585381.92,1B-10B,10B-100B
INDV,2025-07-31,earnings,2025-07-31,BMO,False,17.4,20.87,20.2,19.9425,16.092,-3.2103,1.2863,2.4506,15.504,6.5664,99.6617,2025-08-01,20.2,21.05,4.2079,24.6,23.46,16.8646,11.4489,Healthcare,Drug Manufacturers - Specialty & Generic,4776195600.0,486792305.8,487M,26568140.6,2520354000.0,1B-10B,1B-10B
TMDX,2025-05-09,earnings,2025-05-08,AMC,False,93.2,114.6,111.5,22.9614,19.6352,-2.7051,2.1079,3.7091,10.893,5.2938,99.8017,2025-05-12,114.32,118.73,3.8576,142.88,116.88,20.3403,-1.5582,Healthcare,Medical - Devices,4622941100.0,506657561.0,507M,91641151.5,3853540350.0,1B-10B,1B-10B
RRX,2025-05-06,earnings,2025-05-05,AMC,False,110.28,128.67,125.24,16.6757,13.5655,-2.6657,2.0469,3.7309,8.1469,3.636,100.0,2025-05-07,126.5,129.9,2.6877,139.84,150.65,7.652,15.9738,Industrials,Industrial - Machinery,13964965024.0,222003930.72,222M,75088663.315,8337173322.519999,1B-10B,10B-100B
DOCN,2025-02-25,earnings,2025-02-25,BMO,False,37.17,45.0,40.83,21.0654,9.8467,-9.2667,1.4468,2.8205,14.5599,3.4911,99.8984,2025-02-26,41.41,43.94,6.1096,35.53,30.85,-19.1397,-29.7906,Technology,Software - Infrastructure,16241125680.0,172226125.41,172M,57037894.7,4261182120.0,1B-10B,10B-100B
CWAN,2025-02-20,earnings,2025-02-19,AMC,False,27.04,31.77,29.94,17.4926,10.7249,-5.7602,1.1839,1.9674,14.7752,5.4512,100.0,2025-02-21,30.15,31.26,3.6816,27.07,22.3,-13.4037,-28.6628,Technology,Software - Application,7235691268.0,393594234.0,394M,44915975.0,8900435356.2,1B-10B,1B-10B
ATI,2025-02-04,earnings,2025-02-04,BMO,False,57.96,64.01,63.72,10.4382,9.9379,-0.4531,1.0947,1.9321,9.5356,5.1437,99.9209,2025-02-05,64.17,65.86,2.6336,55.26,42.53,-16.0947,-35.4236,Industrials,Manufacturing - Metal Fabrication,21973103451.0,296054525.88,296M,69310849.895,8695895608.44,1B-10B,10B-100B
VIAV,2025-01-31,earnings,2025-01-30,AMC,False,9.99,12.12,12.04,21.3213,20.5205,-0.6601,1.5393,2.342,13.8516,8.7621,99.9736,2025-02-03,11.7,12.33,5.3846,11.29,10.44,-8.4347,-15.3285,Technology,Communication Equipment,12490680258.0,211919652.0,212M,13479585.91,2816250754.8,1B-10B,10B-100B
GLBE,2024-11-20,earnings,2024-11-20,BMO,False,42.74,48.0,47.86,12.307,11.9794,-0.2917,1.1572,2.0401,10.6354,5.872,99.6618,2024-11-21,48.5,49.89,2.866,54.64,58.03,9.5209,16.3159,Consumer Cyclical,Specialty Retail,5945485334.0,272066535.38,272M,29655468.605,8109159100.0,1B-10B,1B-10B
BILL,2024-11-08,earnings,2024-11-07,AMC,False,65.9,78.23,77.31,18.7102,17.3141,-1.176,1.3263,2.7698,14.1066,6.2511,99.919,2024-11-11,77.98,85.89,10.1436,89.91,82.31,4.6804,-4.1681,Technology,Software - Application,4400770619.0,374885080.65,375M,59589691.455,7650631616.400001,1B-10B,1B-10B
FIVN,2024-11-08,earnings,2024-11-07,AMC,False,32.81,40.1,36.82,22.2188,12.2219,-8.1796,1.0152,2.5245,21.8864,4.8412,100.0,2024-11-11,37.74,39.67,5.1139,43.04,37.46,8.4951,-5.571,Technology,Software - Infrastructure,1602484269.0,237724648.0,238M,39454669.805,2819086038.16,1B-10B,1B-10B
ETSY,2024-10-31,earnings,2024-10-30,AMC,False,47.99,52.46,51.44,9.3144,7.189,-1.9443,1.0555,2.3292,8.8248,3.0864,99.4588,2024-11-01,50.98,52.77,3.5112,57.23,53.9,8.4518,2.1414,Consumer Cyclical,Specialty Retail,5457482245.0,530585081.6,531M,146120510.5,4881462122.639999,1B-10B,1B-10B
SIG,2024-09-12,earnings,2024-09-12,BMO,False,78.09,89.85,86.94,15.0595,11.3331,-3.2387,1.3491,2.1944,11.1627,5.1645,99.9188,2024-09-13,87.82,91.15,3.7918,97.58,98.59,7.0543,8.1624,Consumer Cyclical,Luxury Goods,3727101629.0,254352185.64,254M,60150482.0,3537105735.24,1B-10B,1B-10B
CRUS,2024-08-07,earnings,2024-08-06,AMC,False,115.31,130.15,124.0,12.8697,7.5362,-4.7253,1.2447,2.1463,10.3392,3.5113,99.9183,2024-08-08,126.81,131.57,3.7536,134.61,118.54,2.3106,-9.9035,Technology,Semiconductors,8491201878.0,147478036.0,147M,62931745.365,6324917600.0,1B-10B,1B-10B
ALKS,2024-07-24,earnings,2024-07-24,BMO,False,25.0,26.9,26.51,7.6,6.04,-1.4498,0.8061,1.581,9.428,3.8202,99.6722,2024-07-25,26.68,28.04,5.0975,27.95,27.37,-0.321,-2.3894,Healthcare,Biotechnology,6382016650.0,144818828.0,145M,38770553.705,4418575643.570001,1B-10B,1B-10B
