ticker,event_date,event_type,earnings_date,time_of_day,tod_inferred,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
INTC,2026-04-24,earnings,2026-04-23,AMC,False,66.78,82.2,82.54,23.0907,23.5999,0.4136,2.1025,4.1398,10.9823,5.7008,99.9091,2026-04-27,83.67,84.99,1.5776,,,,,Technology,Semiconductors,606185860000.0,23227186363.56,23.2B,6188404446.045,414846040000.00006,100B+,100B+
RTX,2025-10-21,earnings,2025-10-21,BMO,False,160.71,171.81,173.04,6.9069,7.6722,0.7159,0.5168,1.1311,13.3658,6.7831,99.8972,2025-10-22,174.49,177.98,2.0001,172.73,185.68,-2.9498,4.3263,Industrials,Aerospace & Defense,279504540725.0,2127829273.92,2.1B,739296865.47,233029507200.0,100B+,100B+
ORCL,2025-06-12,earnings,2025-06-11,AMC,False,176.38,189.96,199.86,7.6993,13.3122,5.2116,2.0221,2.8747,3.8076,4.6309,99.3205,2025-06-13,201.58,215.22,6.7665,241.3,244.96,12.1178,13.8184,Technology,Software - Infrastructure,537216632340.0,10914354600.0,10.9B,1218301399.79,574806553560.0,100B+,100B+
INTU,2025-05-23,earnings,2025-05-22,AMC,False,666.07,720.0,720.13,8.0967,8.1163,0.0181,1.079,2.3245,7.5039,3.4916,99.8966,2025-05-27,724.51,751.96,3.7888,772.86,798.73,2.7794,6.2197,Technology,Software - Application,126388874744.0146,3836658204.9,3.8B,934127325.53,200393513950.53,100B+,100B+
SPOT,2025-02-04,earnings,2025-02-04,BMO,False,549.08,595.99,621.77,8.5434,13.2385,4.3256,1.711,2.3875,4.9932,5.545,99.5928,2025-02-05,608.85,626.0,2.8168,532.1,518.97,-15.0,-17.0974,Communication Services,Internet Content & Information,101349883630.1577,4201512535.34,4.2B,951550256.84,127980784410.0,100B+,100B+
AVGO,2024-12-13,earnings,2024-12-12,AMC,False,180.66,213.9,224.8,18.3992,24.4326,5.0958,1.3441,2.2878,13.6884,10.6795,100.0,2024-12-16,231.79,250.0,7.8562,237.44,228.73,-5.024,-8.508,Technology,Semiconductors,1985247131000.0,27276473974.4,27.3B,3475547495.0,1064353816000.0,100B+,100B+
PLTR,2024-11-05,earnings,2024-11-04,AMC,False,41.41,47.86,51.13,15.5759,23.4726,6.8324,1.3728,2.713,11.3463,8.652,99.5913,2024-11-06,53.44,55.53,3.9109,76.34,68.23,37.4752,22.8705,Technology,Software - Infrastructure,374129812723.0,10679431066.0,10.7B,1715804051.5,117398059100.0,100B+,100B+
TSLA,2024-10-24,earnings,2024-10-23,AMC,False,213.65,244.68,260.48,14.5238,21.919,6.4574,2.1869,3.4225,6.6412,6.4044,100.0,2024-10-25,256.01,269.19,5.1482,338.59,454.13,25.781,68.7024,Consumer Cyclical,Auto - Manufacturers,1627916834000.0,53266050893.44,53.3B,17180743034.5,978289945600.0,100B+,100B+
NVDA,2024-05-23,earnings,2024-05-22,AMC,False,94.95,102.03,103.8,7.4566,9.3207,1.7348,1.3646,3.0327,5.4641,3.0734,99.5161,2024-05-24,104.45,106.47,1.9339,126.4,113.06,18.7189,6.1895,Technology,Semiconductors,5366058251261.0,86679776064.0,86.7B,33406440102.2,2522859165145.8,100B+,100B+
NFLX,2024-01-24,earnings,2024-01-23,AMC,False,49.22,53.78,54.49,9.2645,10.707,1.3202,0.7324,1.4932,12.6491,7.1707,99.6269,2024-01-25,55.2,56.2,1.8116,58.77,62.92,4.573,11.9573,Communication Services,Entertainment,415122977305.0,14403231085.3,14.4B,1875175354.85,229446492000.0,100B+,100B+
