ticker,event_date,event_type,earnings_date,time_of_day,tod_inferred,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
FIVN,2026-05-01,earnings,2026-04-30,AMC,False,17.2,20.18,22.24,17.3256,29.3023,10.2081,1.6232,3.8647,10.6735,7.5821,99.9012,2026-05-04,22.28,23.34,4.7576,,,,,Technology,Software - Infrastructure,1602484269.0,340328200.48,340M,31963226.5,1702783093.12,1B-10B,1B-10B
BAND,2026-04-30,earnings,2026-04-30,BMO,False,24.2,30.96,36.81,27.9339,52.1074,18.8953,2.6364,3.902,10.5956,13.3539,99.8188,2026-05-01,37.66,44.86,19.1184,,,,,Technology,Software - Infrastructure,1582935757.0,153011808.0,153M,8252815.12,1178557070.67,1B-10B,1B-10B
MYRG,2026-04-30,earnings,2026-04-29,AMC,False,337.76,363.68,404.81,7.6741,19.8514,11.3094,1.6041,2.7222,4.7842,7.2924,99.8051,2026-05-01,410.9,433.49,5.4977,,,,,Industrials,Engineering & Construction,7089009170.0,287399312.41,287M,82094665.94,6303296510.0,1B-10B,1B-10B
DNTH,2026-03-09,earnings,2026-03-09,BMO,False,65.2,78.9,79.23,21.0123,21.5184,0.4183,1.1984,4.2463,17.534,5.0675,99.8966,2026-03-10,81.08,86.92,7.2028,91.66,,5.4533,,Healthcare,Biotechnology,3596762500.0,365345376.0,365M,33547755.64,3307852500.0,1B-10B,1B-10B
BW,2026-03-04,earnings,2026-03-04,BMO,False,8.1,9.73,11.8,20.1235,45.679,21.2744,2.1942,7.0078,9.171,6.5183,99.812,2026-03-05,12.01,13.29,10.6578,16.75,15.46,26.0346,16.3281,Industrials,Industrial - Machinery,2259139912.0,224701500.0,225M,19009041.5,1349764605.8000002,1B-10B,1B-10B
PLUG,2026-03-03,earnings,2026-03-02,AMC,False,1.81,2.08,2.23,14.9171,23.2044,7.2115,1.7787,5.0171,8.3867,4.6251,99.4356,2026-03-04,2.25,2.48,10.2222,2.41,3.13,-2.8226,26.2097,Industrials,Electrical Equipment & Parts,4082894270.0,501246243.0,501M,174891202.48,2557543320.99,1B-10B,1B-10B
ACHC,2026-02-25,earnings,2026-02-25,BMO,False,17.17,20.31,20.84,18.2877,21.3745,2.6096,2.9948,4.9007,6.1065,4.3615,100.0,2026-02-26,21.22,22.29,5.0424,22.91,27.58,2.7815,23.7326,Healthcare,Medical - Care Facilities,2392982043.0,243758060.96,244M,46539515.21,1916592842.68,1B-10B,1B-10B
TNDM,2026-02-20,earnings,2026-02-19,AMC,False,18.52,22.75,24.57,22.8402,32.6674,8.0,1.7492,2.9101,13.0574,11.2256,99.8378,2026-02-23,25.59,28.26,10.4338,24.51,20.68,-13.2696,-26.8224,Healthcare,Medical - Devices,1426645314.0,312014430.0,312M,22210025.67,1683759667.59,1B-10B,1B-10B
FSLY,2026-02-12,earnings,2026-02-11,AMC,False,9.31,13.49,16.04,44.898,72.2879,18.9029,1.8933,3.5985,23.7147,20.0883,100.0,2026-02-13,16.09,18.26,13.4866,24.18,24.88,32.4206,36.2541,Technology,Software - Application,3313794055.0,1868526868.0,1.9B,29833566.86,2510260000.0,1B-10B,1B-10B
IPGP,2026-02-12,earnings,2026-02-12,BMO,False,110.9,116.7,150.25,5.2299,35.4824,28.7489,1.0524,2.8045,4.9695,12.6522,99.4816,2026-02-13,147.57,153.91,4.2963,115.5,120.71,-24.9561,-21.571,Technology,Semiconductors,5142703972.0,373281100.0,373M,42518266.97,6377150900.0,1B-10B,1B-10B
