ticker,event_date,event_type,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,news_same_day,news_prev_day,news_sources,news_titles_same_day,news_titles_prev_day,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
LMT,2026-01-08,news_gap,496.87,531.89,518.44,7.0481,4.3412,-2.5287,0.7695,1.5324,9.1595,2.8329,99.9752,2026-01-09,525.88,542.92,3.2403,638.29,649.47,23.1174,25.2739,False,True,pr,,"[pr] F-35 Breaks Delivery Record, Continues Combat Success in 2025",Industrials,Aerospace & Defense,141786940521.6578,2130166272.0,2.1B,581087980.515,119533396931.52002,100B+,100B+
INTC,2026-01-05,news_gap,39.38,41.59,39.37,5.612,-0.0254,-5.3378,1.5935,3.2802,3.5219,-0.0077,99.0234,2026-01-06,39.86,40.04,0.4516,48.6,43.42,23.4442,10.287,True,False,pr,[pr] CES 2026: Intel Core Ultra Series 3 Debuts as First Built on Intel 18A,,Technology,Semiconductors,606185860000.0,3805716798.0,3.8B,2322550629.0,197873620000.0,100B+,100B+
AMD,2025-10-06,news_gap,164.67,226.45,203.71,37.5175,23.708,-10.042,1.9003,2.5803,19.7431,9.1881,100.0,2025-10-07,214.85,211.51,-1.5546,250.05,215.98,22.748,6.0233,True,False,pr,[pr] AMD and OpenAI Announce Strategic Partnership to Deploy 6 Gigawatts of AMD GPUs,,Technology,Semiconductors,730981674000.0,50695189116.0,50.7B,6599947222.36,332169526000.0,100B+,100B+
INTC,2025-09-18,news_gap,24.9,31.78,30.57,27.6305,22.7711,-3.8074,1.8235,3.0836,15.1528,7.3847,100.0,2025-09-19,30.38,29.58,-2.6333,37.01,34.71,21.0664,13.5427,True,False,pr,[pr] NVIDIA and Intel to Develop AI Infrastructure and Personal Computing Products,,Technology,Semiconductors,606185860000.0,16015867560.0,16.0B,1525277672.425,153644820000.0,100B+,100B+
APP,2025-09-08,news_gap,490.24,537.08,547.04,9.5545,11.5862,1.8545,1.5285,3.4712,6.2508,3.3378,98.7307,2025-09-09,546.82,558.17,2.0756,631.85,617.05,15.5034,12.798,False,True,pr,,"[pr] AppLovin, Robinhood Markets and Emcor Group Set to Join S&P 500; Others to Join S&P 100, S&P MidCap 400 and S&P SmallCap 600",Technology,Software - Application,164842158162.0,9035416463.84,9.0B,2503474163.87,183772349550.4,100B+,100B+
MU,2025-08-11,news_gap,118.89,124.97,123.72,5.114,4.0626,-1.0002,1.5551,2.3456,3.2885,1.732,99.0249,2025-08-12,124.7,127.75,2.4459,140.0,192.33,13.1587,55.4559,True,False,pr,[pr] Micron Updates Fourth Quarter Fiscal 2025 Guidance,,Technology,Semiconductors,864495263400.0,4338340776.0,4.3B,2240391562.0,139522755600.0,100B+,100B+
ORCL,2025-06-30,news_gap,210.24,226.5,218.63,7.734,3.9907,-3.4746,2.2144,3.4136,3.4926,1.1691,99.3289,2025-07-01,219.3,218.96,-0.155,250.6,240.32,14.6229,9.9209,True,False,pr,[pr] Banks Can Speed Access to Capital with New Oracle Trade and Supply Chain Finance Cloud Services,,Technology,Software - Infrastructure,537216632340.0,6962104223.53,7.0B,2841424711.5,628789936980.0,100B+,100B+
ETN,2025-04-23,news_gap,266.91,288.95,275.63,8.2575,3.267,-4.6098,2.4835,3.6335,3.3249,0.8991,100.0,2025-04-24,277.6,287.02,3.3934,321.07,343.26,16.4859,24.5365,False,True,pr,,"[pr] Eaton declares quarterly dividend payable May 23, 2025 || [pr] Eaton Earns First A Rating From CDP for Climate Disclosure",Industrials,Industrial - Machinery,155914099000.0,867966587.64,868M,994366011.3,107027129000.0,100B+,100B+
AMZN,2025-04-08,news_gap,175.26,185.23,170.66,5.6887,-2.6247,-7.8659,1.8106,2.1922,3.1419,-1.1973,99.284,2025-04-09,172.12,191.1,11.0272,192.08,216.98,12.5513,27.1417,True,False,pr,[pr] Introducing Amazon Nova Sonic: A New Gen AI Model for Building Voice Applications and Agents,,Consumer Cyclical,Specialty Retail,2859452322000.0,14968656864.0,15.0B,8574077390.5,1835806686000.0,100B+,100B+
BA,2025-04-08,news_gap,138.86,146.85,139.39,5.754,0.3817,-5.08,1.4405,2.8801,3.9944,0.1325,99.5571,2025-04-09,138.85,160.82,15.8228,191.7,217.51,37.5278,56.0442,True,True,pr,[pr] Boeing Announces First Quarter Deliveries,[pr] Millennium Space Systems Completes FOO Fighter Critical Design Review in Just 10 Months,Industrials,Aerospace & Defense,186725094740.0,2025044259.78,2.0B,1346317994.62,109881415779.99998,100B+,100B+
CVNA,2025-04-08,news_gap,167.87,184.91,176.32,10.1507,5.0337,-4.6455,2.8443,5.7769,3.5688,0.8713,98.7976,2025-04-09,176.48,220.44,24.9093,285.53,339.91,61.9385,92.7802,True,False,pr,[pr] Carvana Announces Auction-IRC ‘Megasite’ Integration in Phoenix Area,,Consumer Cyclical,Auto - Dealerships,79902910760.0,1812199328.0,1.8B,1016535217.0,191133919756.8,100B+,10B-100B
AVGO,2024-12-11,news_gap,171.81,180.01,183.2,4.7727,6.6294,1.7721,1.1974,2.1239,3.9859,3.1213,99.473,2024-12-12,180.93,180.66,-0.1492,224.7,235.8,22.6528,28.7118,False,True,pr,,[pr] Broadcom Announces New Enterprise-Grade Bitnami Offering and Names Arrow Electronics as a Distributor of Bitnami Premium,Technology,Semiconductors,1985247131000.0,7565280640.0,7.6B,3150558740.705,867391544000.0,100B+,100B+
MSTR,2024-11-11,news_gap,270.42,297.0,340.0,9.8292,25.7303,14.4781,2.9215,5.4182,3.3644,4.7489,99.5451,2024-11-12,334.77,356.59,6.5179,411.4,342.17,21.0,0.6382,True,False,pr,"[pr] MicroStrategy Announces BTC and ATM Activity; Raised $2.03 billion; Purchased 27,200 BTC; Now Holds 279,420 BTC with BTC Yield of 26.4% YTD",,Technology,Software - Application,54786145121.0,16087348200.0,16.1B,5083577665.42,101004713920.0,100B+,10B-100B
UBER,2024-09-13,news_gap,68.09,72.4,72.48,6.3299,6.4473,0.1105,1.4198,2.6263,4.4584,2.4549,98.6607,2024-09-16,72.36,71.52,-1.1609,84.94,71.37,17.1909,-1.5315,True,False,pr,[pr] Uber and Waymo Expand Partnership to Bring Autonomous Ride-Hailing to Austin and Atlanta,,Technology,Software - Application,155438416000.0,2201688720.0,2.2B,797692437.645,147540288000.0,100B+,100B+
QCOM,2024-05-02,news_gap,164.11,175.47,180.1,6.9222,9.7435,2.6386,1.0048,1.8087,6.8889,5.3869,99.8058,2024-05-03,182.24,179.64,-1.4267,205.91,203.81,14.3309,13.1649,False,True,pr,,[pr] Qualcomm Earnings Release Available on Company’s Investor Relations Website,Technology,Semiconductors,221666740000.0,4663661584.5,4.7B,1118357292.0,189825400000.0,100B+,100B+
TXN,2024-04-24,news_gap,165.47,178.23,174.81,7.7114,5.6445,-1.9189,0.8233,1.4491,9.3662,3.8952,99.9722,2024-04-25,176.07,175.25,-0.4657,197.29,194.47,12.8597,11.2465,False,True,pr,,[pr] TI reports first quarter 2024 financial results and shareholder returns,Technology,Semiconductors,268632150810.0,2441378979.0,2.4B,813192042.96,159093357330.0,100B+,100B+
NVDA,2024-02-22,news_gap,67.47,75.03,78.54,11.205,16.4073,4.6781,1.0659,2.1746,10.5118,7.5449,99.6403,2024-02-23,80.79,78.82,-2.4384,94.29,82.42,20.0535,4.9402,True,True,pr,[pr] NVIDIA Announces Upcoming Events for Financial Community,[pr] NVIDIA Announces Financial Results for Fourth Quarter and Fiscal 2024,Technology,Semiconductors,5366058251261.0,67944954000.0,67.9B,32954314520.0,1908914824957.14,100B+,100B+
LOW,2023-11-14,news_gap,193.84,203.45,202.24,4.9577,4.3335,-0.5947,0.5762,1.4026,8.6042,3.0897,99.6561,2023-11-15,202.44,204.85,1.1905,225.54,218.05,11.521,7.8174,True,False,pr,"[pr] Lowe's Companies, Inc. to Host Third Quarter 2023 Earnings Conference Call on Nov. 21",,Consumer Cyclical,Home Improvement,131402872058.3882,857021729.28,857M,512530483.32,113267141120.0,100B+,100B+
AMZN,2023-10-27,news_gap,119.57,126.2,127.74,5.5449,6.8328,1.2203,1.5365,2.1484,3.6087,3.1804,99.1614,2023-10-30,129.72,132.71,2.305,147.03,153.38,15.101,20.072,False,True,pr,,[pr] Amazon.com Announces Third Quarter Results,Consumer Cyclical,Specialty Retail,2859452322000.0,16003818142.62,16.0B,6046324438.28,1374111954000.0,100B+,100B+
NOW,2023-10-26,news_gap,106.03,112.0,110.19,5.6305,3.9234,-1.6161,0.8613,1.7552,6.5372,2.2353,99.3326,2023-10-27,111.29,110.8,-0.4403,134.11,140.75,21.708,27.7339,False,True,pr,,[pr] ServiceNow Reports Third Quarter 2023 Financial Results || [pr] Deloitte and ServiceNow Expand Alliance to Integrate Now Assist Generative AI Capabilities With Next-Generation Managed Services || [pr] ServiceNow Announces Strategic Partnership With ANSR to Power Global Capability Centers on the Now Platform,Technology,Software - Application,116053697112.1639,1954744705.35,2.0B,575459629.375,113639828520.0,100B+,100B+
ADBE,2023-06-09,news_gap,439.03,456.9099,454.0,4.0726,3.4098,-0.6369,1.0256,2.3354,3.971,1.46,99.1716,2023-06-12,463.705,474.63,2.356,507.36,515.83,11.7533,13.6189,False,True,pr,,[pr] All-New Adobe Express With Firefly Revolutionizes How Creators and Brands Design and Share Standout Content || [pr] Adobe Summit EMEA Spotlights Major New Innovations and Customer Momentum Across Europe || [pr] Adobe Brings Firefly and Express to Enterprises || [pr] Adobe Unveils New Innovations Across Adobe Experience Cloud || [pr] Adobe Adds Powerful New Sensei GenAI Services Across Experience Cloud To Accelerate Profitable Growth for Enterprises,Technology,Software - Infrastructure,101656217500.1483,3602018294.0,3.6B,1428507851.25,183506800000.0,100B+,100B+
CMCSA,2022-11-10,news_gap,31.39,32.73,32.77,4.2689,4.3963,0.1222,1.0428,2.1383,4.0935,2.056,99.8454,2022-11-11,33.13,34.02,2.6864,36.52,38.69,11.4434,18.0653,False,True,pr,,[pr] Comcast Appoints Michael Slovin Vice President and General Manager of Comcast Smart Solutions,Communication Services,Telecommunications Services,104373513709.5693,1033210245.5,1.0B,885218131.5,117061937055.06,100B+,100B+
MRNA,2021-07-16,news_gap,259.67,276.92,286.43,6.643,10.3054,3.4342,1.8921,3.4622,3.511,2.9765,97.0948,2021-07-19,284.54,313.59,10.2095,373.86,434.46,30.524,51.681,False,True,pr,,"[pr] Moderna to Report Second Quarter Financial Results on Thursday, August 5, 2021",Healthcare,Biotechnology,22013924079.0,11858202000.0,11.9B,1603080200.0,113651413980.0,100B+,10B-100B
