ticker,event_date,event_type,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,news_same_day,news_prev_day,news_sources,news_titles_same_day,news_titles_prev_day,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
LRMR,2026-02-24,news_gap,2.81,3.59,3.69,27.758,31.3167,2.7855,0.9382,4.4029,29.5867,7.1128,100.0,2026-02-25,3.66,5.95,62.5683,4.68,4.54,26.8293,23.0352,True,False,fmp_pr,[fmp_pr] Larimar Therapeutics Announces FDA Breakthrough Therapy Designation for Nomlabofusp in FA and Reiterates Planned BLA Submission in June 2026,,Healthcare,Biotechnology,487009341.0,259866036.0,260M,2590983.93,315783011.88,300M-1B,300M-1B
RXT,2026-02-18,news_gap,0.419,0.997,1.37,137.9475,226.969,37.4122,1.4989,4.1771,92.0311,54.3371,100.0,2026-02-19,1.26,1.23,-2.381,1.79,1.45,30.6569,5.8394,True,False,pr,[pr] Rackspace and Palantir Partner to Run Foundry and AIP in Production with Governed Managed Operations,,Technology,Software - Infrastructure,1577578393.0,743213393.36,743M,1411078.585,338272180.0,300M-1B,1B-10B
RZLV,2025-12-16,news_gap,2.32,3.0,2.97,29.3103,28.0172,-1.0,4.354,6.5057,6.7319,4.3066,99.7159,2025-12-17,3.13,2.4,-23.3227,4.61,2.28,55.2189,-23.2323,True,False,pr,"[pr] Rezolve Ai Shatters Year-End Expectations: December Revenue Expected to Exceed $17 Million, ARR Expected to Exceed $200 Million",,Technology,Software - Infrastructure,1072846284.0,225311922.0,225M,36412696.0,794264551.74,300M-1B,1B-10B
TNGX,2025-10-23,news_gap,8.66,9.29,7.53,7.2748,-13.0485,-18.9451,1.4195,4.6094,5.1251,-2.8308,99.5345,2025-10-24,7.84,7.5,-4.3367,10.03,8.53,33.2005,13.2802,True,False,pr,[pr] Tango Therapeutics Announces $225 Million Financing || [pr] Tango Therapeutics Reports Positive Data from Ongoing Phase 1/2 Study with Vopimetostat (TNG462) in Patients with MTAP-deleted Cancers,,Healthcare,Biotechnology,2730026067.0,254326826.79,254M,16923090.0,874770054.6600001,300M-1B,1B-10B
VTYX,2025-10-23,news_gap,3.86,7.5,6.6,94.3005,70.9845,-12.0,1.491,5.9483,63.2474,11.9336,100.0,2025-10-24,6.76,5.81,-14.0533,9.43,9.07,42.8788,37.4242,False,True,pr,,[pr] Ventyx Biosciences Announces Positive Topline Results from Phase 2 Study of VTX3232 in Participants with Obesity and Cardiovascular Risk Factors,Healthcare,Biotechnology,1004502072.0,771313257.0,771M,4607896.635,473550976.8,300M-1B,1B-10B
ANRO,2025-10-20,news_gap,6.08,6.75,11.0,11.0197,80.9211,62.963,1.697,8.6781,6.4937,9.3248,99.7664,2025-10-21,10.84,10.85,0.0923,14.75,19.45,34.0909,76.8182,True,False,pr,[pr] Alto Neuroscience Announces $50 Million Private Placement Financing || [pr] Alto Neuroscience Announces Plans to Accelerate Development of ALTO-207 in Treatment Resistant Depression Following Successful Outcome from Recent FDA Meeting,,Healthcare,Biotechnology,786818084.0,195452400.0,195M,1579285.98,351400687.0,300M-1B,300M-1B
GLUE,2025-09-15,news_gap,4.81,7.22,6.93,50.104,44.0748,-4.0166,1.135,3.6135,44.1436,12.1972,100.0,2025-09-16,6.81,6.47,-4.9927,10.61,14.16,53.1025,104.329,True,False,pr,[pr] Monte Rosa Therapeutics Announces Collaboration with Novartis for Degraders to Treat Immune-mediated Diseases,,Healthcare,Biotechnology,1346447125.0,219739905.0,220M,1541279.235,451301232.69,300M-1B,1B-10B
AEHR,2025-08-25,news_gap,18.1,21.07,24.59,16.4088,35.8564,16.7062,3.7235,6.3654,4.4069,5.633,99.537,2025-08-26,26.0,25.89,-0.4231,32.24,25.09,31.1102,2.0333,True,False,pr,[pr] Major Hyperscaler Expands AI Processor Production Capacity with Additional Aehr Test Package-Level Test and Burn-in Systems,,Technology,Semiconductors,3042158727.0,260949842.29,261M,21061861.8,773435515.86,300M-1B,1B-10B
PGEN,2025-08-15,news_gap,1.85,2.6,2.94,40.5405,58.9189,13.0769,1.5613,5.2123,25.9666,11.3039,100.0,2025-08-18,2.9,2.95,1.7241,3.89,3.53,32.3129,20.068,True,False,pr,"[pr] Precigen Announces Full FDA Approval of PAPZIMEOS (zopapogene imadenovec-drba), the First and Only Approved Therapy for the Treatment of Adults with Recurrent Respiratory Papillomatosis",,Healthcare,Biotechnology,1241923968.0,510731913.72,511M,4489433.435,883259998.74,300M-1B,1B-10B
ATAI,2025-07-01,news_gap,2.19,2.64,2.71,20.5479,23.7443,2.6515,2.8272,5.5102,7.2679,4.3092,100.0,2025-07-02,2.96,2.75,-7.0946,4.1,4.58,51.2915,69.0037,True,False,pr,[pr] atai Life Sciences Announces $50 Million Private Placement Financing || [pr] atai Life Sciences and Beckley Psytech Announce Positive Topline Results from the Phase 2b Study of BPL-003 in Patients with Treatment-Resistant Depression,,Healthcare,Medical - Pharmaceuticals,1412904831.0,139523013.97,140M,4909419.42,511173750.0,300M-1B,1B-10B
ORIC,2025-05-29,news_gap,5.97,7.29,7.97,22.1106,33.5008,9.3278,2.5996,6.1739,8.5054,5.4262,99.9218,2025-05-30,7.62,8.17,7.2178,10.15,10.71,27.3526,34.3789,False,True,pr,,[pr] ORIC® Pharmaceuticals Announces Potentially Best-In-Class Preliminary Efficacy and Safety Data from Ongoing Phase 1b Trial of ORIC-944 in Combination with AR Inhibitors for the Treatment of Patients with mCRPC || [pr] ORIC® Pharmaceuticals Announces $125 Million Private Placement Financing,Healthcare,Biotechnology,1169173526.0,115337058.0,115M,3855385.38,825034969.14,300M-1B,1B-10B
ABSI,2025-01-08,news_gap,3.07,4.09,3.22,33.2248,4.886,-21.2714,2.2772,7.0453,14.5905,0.6935,99.8713,2025-01-10,3.08,2.86,-7.1429,4.33,3.12,34.472,-3.1056,True,False,pr,[pr] Absci and AMD Announce Collaboration and Strategic Investment to Accelerate the Future of AI Drug Discovery,,Healthcare,Biotechnology,834871275.0,191131185.42,191M,7592722.37,502014100.00000006,300M-1B,300M-1B
LAES,2024-12-16,news_gap,1.75,2.63,2.45,50.2857,40.0,-6.8441,13.0538,17.6367,3.8522,2.268,99.2366,2024-12-17,2.94,2.98,1.3605,4.24,3.38,73.0612,37.9592,True,False,pr,[pr] SEALSQ Post-Quantum Technology to Safeguard Digital Identities and Documents in Collaboration with WISeID.COM,,Technology,Semiconductors,771033018.0,500073941.85,500M,1294633.2384,349354687.5,300M-1B,300M-1B
