ticker,event_date,event_type,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,news_same_day,news_prev_day,news_sources,news_titles_same_day,news_titles_prev_day,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
SGML,2026-02-25,news_gap,12.6,14.91,16.37,18.3333,29.9206,9.7921,4.3751,7.7572,4.1904,3.8571,99.6354,2026-02-26,15.03,16.22,7.9175,9.7,20.71,-40.7453,26.5119,False,True,fmp_pr,,[fmp_pr] INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Sigma Lithium Corporation - SGML,Basic Materials,Industrial Materials,2326094202.0,295573446.0,296M,34245753.855,1823666766.23,1B-10B,1B-10B
AEHR,2026-02-11,news_gap,26.83,31.81,33.85,18.5613,26.1647,6.4131,2.6041,5.4142,7.1277,4.8326,99.7004,2026-02-12,33.15,27.89,-15.8673,35.67,74.38,5.3767,119.7341,True,False,fmp_pr|pr,[fmp_pr] Aehr Secures Key AI Production Burn-in Win with Initial Order of Sonoma Systems for Lead Hyperscale Customer's Next-Generation AI ASIC Processors,,Technology,Semiconductors,3042158727.0,169957465.0,170M,27782295.28,1064692647.9,1B-10B,1B-10B
NKTR,2026-02-10,news_gap,37.07,47.15,56.0,27.1918,51.0656,18.7699,1.6979,4.6122,16.0153,11.0719,99.9506,2026-02-11,59.0,66.35,12.4576,70.36,80.45,25.6429,43.6607,True,True,8k|fmp_pr|pr,[fmp_pr] Nektar Therapeutics Announces Proposed Public Offering || [fmp_pr] New REZOLVE-AD Maintenance Data in Atopic Dermatitis Demonstrate Rezpegaldesleukin Resulted in Durable and New Responses Across Key Disease Measurements with Both Monthly and Quarterly Dosing || [8k] NKTR: 8-K,"[fmp_pr] Nektar to Hold Conference Call to Discuss Topline Results from the 36-Week Maintenance Period for its REZOLVE-AD Phase 2b Study of Rezpegaldesleukin in Atopic Dermatitis on February 10, 2026",Healthcare,Biotechnology,1934783774.0,488404952.0,488M,22376506.04,1094291520.0,1B-10B,1B-10B
RNG,2026-02-10,news_gap,27.37,28.8,28.92,5.2247,5.6631,0.4167,0.867,2.6937,6.0265,2.1024,99.2602,2026-02-11,28.77,28.11,-2.2941,38.06,36.88,31.6044,27.5242,False,True,fmp_pr,,[fmp_pr] RingCentral Set to Join S&P SmallCap 600,Technology,Software - Application,3680036658.0,138095892.0,138M,41389919.3,2541835685.6400003,1B-10B,1B-10B
CENX,2026-02-03,news_gap,47.32,50.9,50.51,7.5655,6.7413,-0.7662,2.1924,4.1412,3.4509,1.6279,99.8269,2026-02-04,50.95,47.53,-6.7125,53.9,64.54,6.7115,27.7767,False,True,8k,,[8k] CENX: 8-K,Basic Materials,Aluminum,6262084980.0,125244596.0,125M,97309695.025,4999176740.0,1B-10B,1B-10B
MOD,2026-01-29,news_gap,146.9,170.0,176.72,15.725,20.2995,3.9529,1.9468,4.2698,8.0771,4.7542,99.9258,2026-01-30,179.9,184.66,2.6459,238.5,216.71,34.9593,22.629,True,False,8k|pr,"[pr] Gentherm and Modine’s Performance Technologies Business to Combine, Establishing a Scaled Leader in Thermal Management Solutions || [8k] MOD: 8-K",,Consumer Cyclical,Auto - Parts,14568047795.0,707162752.0,707M,133568182.95,9318657133.84,1B-10B,10B-100B
IRDM,2026-01-22,news_gap,19.62,21.0,21.79,7.0336,11.0601,3.7619,0.9123,2.6929,7.7101,4.1072,99.7522,2026-01-23,21.8,21.77,-0.1376,23.18,26.83,6.3791,23.1299,True,True,pr,[pr] Iridium Announces Release Date for Fourth-Quarter and Full Year 2025 Financial Results,[pr] On-Air Trials Underway: Iridium NTN Direct Prepares to Enter Beta as Testing Continues,Communication Services,Telecommunications Services,4404617815.0,117300973.92,117M,30990343.34,2303807541.76,1B-10B,1B-10B
IBRX,2026-01-20,news_gap,5.52,6.54,6.48,18.4783,17.3913,-0.9174,3.0288,7.8431,6.1008,2.2174,99.6963,2026-01-21,6.27,6.92,10.3668,8.61,8.47,32.8704,30.7099,True,True,pr,[pr] ImmunityBio Advances Regulatory Discussions with FDA on Potential Resubmission Path for ANKTIVA® in BCG-Unresponsive Papillary Bladder Cancer,[pr] ImmunityBio Advances First-Line BCG Naive NMIBC Program with Enrollment Exceeding Expectations and Positive Interim Analysis for ANKTIVA® Plus BCG || [pr] ImmunityBio Announces Durable Complete Response of 15 Months with a Chemotherapy-Free CD19 CAR-NK Cell Therapy in Waldenstrom Lymphoma,Healthcare,Biotechnology,8687541558.0,1367572474.8,1.4B,25135844.5,6786827993.52,1B-10B,1B-10B
IBRX,2026-01-16,news_gap,3.95,4.7,5.52,18.9873,39.7468,17.4468,1.9169,6.0424,9.9053,6.578,99.7341,2026-01-20,6.54,6.48,-0.9174,8.54,8.82,54.7101,59.7826,True,True,8k|pr,[pr] ImmunityBio Advances First-Line BCG Naive NMIBC Program with Enrollment Exceeding Expectations and Positive Interim Analysis for ANKTIVA® Plus BCG || [pr] ImmunityBio Announces Durable Complete Response of 15 Months with a Chemotherapy-Free CD19 CAR-NK Cell Therapy in Waldenstrom Lymphoma,[pr] ImmunityBio Reports Continued Execution and Sales Momentum With $113 Million of Preliminary Net Product Revenue—a 700% increase year-over-year || [8k] IBRX: 8-K,Healthcare,Biotechnology,8687541558.0,1006592429.52,1.0B,25135844.5,5781371994.48,1B-10B,1B-10B
IBRX,2026-01-14,news_gap,2.82,2.99,3.02,6.0284,7.0922,1.0033,1.7553,4.5796,3.4344,1.5487,98.1756,2026-01-15,3.14,3.95,25.7962,5.95,8.21,97.0199,171.8543,True,True,8k|pr,[pr] Saudi FDA Grants Accelerated Approval to ImmunityBio’s ANKTIVA® for Non-Muscle Invasive Bladder Cancer with Carcinoma In-Situ || [pr] Saudi FDA Grants Accelerated Approval to ImmunityBio’s ANKTIVA® In Combination with Checkpoint Inhibitors for Metastatic Non-Small Cell Lung Cancer || [8k] IBRX: 8-K,[pr] ImmunityBio Announces Positive Results Demonstrating ANKTIVA® as a Lymphocyte Stimulating Agent in Combination With Checkpoint Inhibitors in Non-Small Cell Lung Cancer,Healthcare,Biotechnology,8687541558.0,137737972.0,138M,25135844.5,3162996996.98,1B-10B,1B-10B
ELVN,2026-01-08,news_gap,15.47,16.74,23.25,8.2094,50.2909,38.8889,0.8877,4.3893,9.2482,11.4577,98.7688,2026-01-09,23.58,26.0,10.2629,28.08,30.7,20.7742,32.043,True,True,8k|pr,[pr] Enliven Reports Positive Initial Phase 1b Data for ELVN-001 in CML and Outlines 2026 Clinical Milestones,[pr] Enliven Therapeutics Bolsters Board to Prepare for Next Phase of Development || [8k] ELVN: 8-K,Healthcare,Biotechnology,2576277270.0,220572750.0,221M,12696138.755,1416038925.0,1B-10B,1B-10B
MLTX,2026-01-08,news_gap,11.29,16.19,14.34,43.4012,27.0151,-11.4268,1.1781,4.2042,36.841,6.4257,99.9236,2026-01-09,15.17,18.49,21.8853,15.75,17.84,9.8326,24.4073,True,False,8k|pr,[pr] MoonLake Immunotherapeutics Announces Positive Outcome from Type B Meeting with U.S. FDA and Announces Investor Day || [8k] MLTX: 8-K,,Healthcare,Biotechnology,1339064053.0,351826164.0,352M,19202615.64,1044700117.8,1B-10B,1B-10B
ALMS,2026-01-06,news_gap,8.31,22.2,16.23,167.148,95.3069,-26.8919,2.4006,5.981,69.6279,15.9349,100.0,2026-01-07,17.39,17.92,3.0477,26.34,26.84,62.2921,65.3728,True,True,8k|pr,[pr] Alumis Announces Proposed Public Offering of Common Stock || [pr] Alumis’ Envudeucitinib Delivers Leading Skin Clearance Among Next-Generation Oral Plaque Psoriasis Therapies in Phase 3 Program || [8k] ALMS: 8-K,[pr] Alumis to Host Conference Call and Webcast to Report Phase 3 ONWARD Topline Data for Envudeucitinib in Moderate-to-Severe Plaque Psoriasis,Healthcare,Biotechnology,3346703697.0,1057215708.0,1.1B,9590543.815,1998552867.75,1B-10B,1B-10B
HYMC,2025-12-22,news_gap,16.42,20.94,24.52,27.5274,49.3301,17.0965,2.9464,6.214,9.3426,7.9386,99.7442,2025-12-23,25.9,27.14,4.7876,50.65,46.94,106.5661,91.4356,True,False,pr,[pr] Hycroft Reports Higher Grade in Vortex Silver System,,Basic Materials,Gold,4125844696.0,498006986.72,498M,20071289.295,2240161912.0,1B-10B,1B-10B
HUT,2025-12-17,news_gap,36.85,41.93,40.16,13.7856,8.9824,-4.2213,3.8385,7.2903,3.5914,1.2321,98.8229,2025-12-18,42.9,38.59,-10.0466,58.29,54.86,45.1444,36.6036,True,False,pr,[pr] Hut 8 Announces AI Infrastructure Partnership with Anthropic and Fluidstack,,Financial Services,Financial - Capital Markets,12082462140.0,909725885.92,910M,211753365.63,4521775040.0,1B-10B,10B-100B
CIFR,2025-11-20,news_gap,14.62,16.8,14.56,14.9111,-0.4104,-13.3333,4.5592,8.2927,3.2705,-0.0495,99.8434,2025-11-21,14.2,14.15,-0.3521,16.34,17.57,12.2253,20.6731,True,False,pr,"[pr] Cipher Mining Inc. Announces Pricing of $333 Million of Additional Senior Secured Notes || [pr] Cipher Mining Inc. Announces Proposed Offering of $333 Million of Additional Senior Secured Notes || [pr] Cipher Mining Signs Additional 56 MW, 10-Year AI Hosting Agreement with Fluidstack",,Financial Services,Financial - Capital Markets,8205522940.0,1225759808.0,1.2B,808697783.5,5955753440.0,1B-10B,1B-10B
