ticker,event_date,event_type,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,news_same_day,news_prev_day,news_sources,news_titles_same_day,news_titles_prev_day,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
VRTX,2026-03-10,news_gap,460.87,482.25,499.17,4.6391,8.3104,3.5086,0.536,1.8888,8.6554,4.3997,99.6065,2026-03-11,497.88,492.38,-1.1047,446.78,,-10.4954,,False,True,fmp_pr|pr,,[fmp_pr] Vertex Announces Positive Week 36 Interim Analysis Results for Primary and All Secondary Endpoints in the RAINIER Phase 3 Trial of Povetacicept in Adults With IgA Nephropathy,Healthcare,Biotechnology,119228410000.0,1679116531.89,1.7B,611946548.58,126692050003.89,100B+,100B+
GEV,2025-12-10,news_gap,625.3,692.15,723.0,10.6909,15.6245,4.4571,1.2252,2.82,8.7257,5.5405,100.0,2025-12-11,711.15,704.2,-0.9773,639.77,823.67,-11.5118,13.9239,False,True,pr,,"[pr] GE Vernova declares increased first quarter 2026 dividend and increases buyback authorization || [pr] GE Vernova raises multi-year financial outlook, doubles dividend and increases buyback authorization",Utilities,Renewable Utilities,288062465600.0,8239608045.0,8.2B,1657573949.965,194284560000.0,100B+,100B+
MSTR,2024-11-11,news_gap,270.42,297.0,340.0,9.8292,25.7303,14.4781,2.9215,5.4182,3.3644,4.7489,99.5451,2024-11-12,334.77,356.59,6.5179,411.4,342.17,21.0,0.6382,True,False,pr,"[pr] MicroStrategy Announces BTC and ATM Activity; Raised $2.03 billion; Purchased 27,200 BTC; Now Holds 279,420 BTC with BTC Yield of 26.4% YTD",,Technology,Software - Application,54786145121.0,16087348200.0,16.1B,5083577665.42,101004713920.0,100B+,10B-100B
LRCX,2024-07-31,news_gap,85.49,89.35,92.12,4.5151,7.7553,3.1002,1.313,2.698,3.4389,2.8745,99.5495,2024-08-01,85.48,83.03,-2.8662,79.73,81.61,-13.4498,-11.409,True,False,pr,"[pr] Lam Research Introduces Lam Cryo™ 3.0 Cryogenic Etch Technology to Accelerate Scaling of 3D NAND for the AI Era || [pr] Lam Research Corporation Reports Financial Results for the Quarter Ended June 30, 2024",,Technology,Semiconductors,361714866800.0,1788888413.2,1.8B,942899739.5,115202508400.0,100B+,100B+
NVDA,2024-07-31,news_gap,103.73,112.9,117.02,8.8403,12.8121,3.6492,1.9053,3.4016,4.6398,3.7665,99.5495,2024-08-01,117.53,109.21,-7.079,117.59,121.44,0.4871,3.7771,True,False,pr,[pr] NVIDIA Sets Conference Call for Second-Quarter Financial Results,,Technology,Semiconductors,5366058251261.0,55370844884.0,55.4B,32269134780.81,2844171286178.82,100B+,100B+
QCOM,2024-07-31,news_gap,166.94,175.58,180.95,5.1755,8.3922,3.0584,1.3503,2.6505,3.8328,3.1663,99.4272,2024-08-01,171.76,164.0,-4.5179,169.49,170.05,-6.3332,-6.0238,True,False,pr,[pr] Qualcomm Earnings Release Available on Company’s Investor Relations Website,,Technology,Semiconductors,221666740000.0,3478257090.0,3.5B,1449836164.775,190721300000.0,100B+,100B+
QCOM,2024-05-02,news_gap,164.11,175.47,180.1,6.9222,9.7435,2.6386,1.0048,1.8087,6.8889,5.3869,99.8058,2024-05-03,182.24,179.64,-1.4267,205.91,203.81,14.3309,13.1649,False,True,pr,,[pr] Qualcomm Earnings Release Available on Company’s Investor Relations Website,Technology,Semiconductors,221666740000.0,4663661584.5,4.7B,1118357292.0,189825400000.0,100B+,100B+
NVDA,2024-02-22,news_gap,67.47,75.03,78.54,11.205,16.4073,4.6781,1.0659,2.1746,10.5118,7.5449,99.6403,2024-02-23,80.79,78.82,-2.4384,94.29,82.42,20.0535,4.9402,True,True,pr,[pr] NVIDIA Announces Upcoming Events for Financial Community,[pr] NVIDIA Announces Financial Results for Fourth Quarter and Fiscal 2024,Technology,Semiconductors,5366058251261.0,67944954000.0,67.9B,32954314520.0,1908914824957.14,100B+,100B+
UBER,2024-02-14,news_gap,68.99,74.6,79.15,8.1316,14.7268,6.0992,1.0993,1.6159,7.397,9.1134,99.5826,2024-02-15,79.0,81.39,3.0253,76.07,74.13,-3.8913,-6.3424,True,True,pr,[pr] Uber Announces Inaugural $7 Billion Share Repurchase Authorization,"[pr] Türkiye’s First Direct NYSE-Listed Company, Marti Technologies, Benefits As Ride Hailing Takes Off",Technology,Software - Application,155438416000.0,5528362505.8,5.5B,1297643567.76,161117740000.0,100B+,100B+
ISRG,2024-01-10,news_gap,330.56,348.0,364.45,5.2759,10.2523,4.727,1.0071,1.6153,5.2387,6.3468,99.4894,2024-01-11,364.45,362.31,-0.5872,388.22,389.4,6.5222,6.8459,False,True,pr,,[pr] Intuitive Announces Preliminary Fourth Quarter and Full Year 2023 Results,Healthcare,Medical - Instruments & Supplies,169766464676.4951,1774292388.95,1.8B,475890467.685,129074705350.0,100B+,100B+
