ticker,event_date,event_type,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,news_same_day,news_prev_day,news_sources,news_titles_same_day,news_titles_prev_day,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
RMBS,2026-04-24,news_gap,138.5,149.67,158.4,8.065,14.3682,5.8328,2.3796,4.799,3.3892,2.994,99.6829,2026-04-27,156.49,141.31,-9.7003,,,,,True,False,8k,[8k] RMBS: 8-K,,Technology,Semiconductors,14088088360.0,714621600.0,715M,214427190.95,17128900800.0,10B-100B,10B-100B
BE,2026-04-14,news_gap,176.67,202.78,219.03,14.779,23.9769,8.0136,3.085,6.56,4.7906,3.655,99.742,2026-04-15,219.0,213.84,-2.3562,,,,,False,True,8k|fmp_pr,,[fmp_pr] Bloom Energy and Oracle Expand Strategic Partnership to Deploy up to 2.8 GW to Accelerate AI Infrastructure Build-Out || [8k] BE: 8-K,Industrials,Electrical Equipment & Parts,67480089241.0,5484232812.87,5.5B,1566664904.52,52656539051.55,10B-100B,10B-100B
RRX,2026-04-08,news_gap,185.38,195.0,204.15,5.1893,10.1251,4.6923,1.7021,3.3926,3.0487,2.9845,99.5597,2026-04-09,202.11,207.65,2.7411,,,,,True,False,fmp_pr,"[fmp_pr] Regal Rexnord Corporation to Host First Quarter 2026 Earnings Conference Call on Thursday, May 7, 2026",,Industrials,Industrial - Machinery,13964965024.0,244974692.1,245M,189780210.69,13590178327.95,10B-100B,10B-100B
RKLB,2026-03-31,news_gap,57.38,61.71,64.22,7.5462,11.9205,4.0674,2.2123,5.6993,3.4109,2.0916,98.8806,2026-04-01,65.5,65.52,0.0305,82.51,,28.4802,,False,True,8k|fmp_pr,,[fmp_pr] Rocket Lab Receives Regulatory Approval to Acquire Mynaric || [8k] RKLB: 8-K,Industrials,Aerospace & Defense,68037963681.0,1708727228.0,1.7B,1311537778.66,37167387550.28,10B-100B,10B-100B
NBIS,2026-03-16,news_gap,112.95,124.75,129.85,10.4471,14.9624,4.0882,3.1796,6.3508,3.2857,2.356,99.771,2026-03-17,120.34,116.33,-3.3322,166.77,,28.4328,,True,False,fmp_pr,[fmp_pr] Nebius Signs New AI Infrastructure Agreement with Meta,,Communication Services,Internet Content & Information,42986400000.0,4500307409.15,4.5B,1071605080.925,31164000000.0,10B-100B,10B-100B
NBIS,2026-03-11,news_gap,96.43,105.16,112.0,9.0532,16.1464,6.5044,2.9968,6.1359,3.021,2.6315,99.6071,2026-03-12,109.09,108.04,-0.9625,144.97,,29.4375,,True,False,pr,[pr] NVIDIA and Nebius Partner to Scale Full-Stack AI Cloud,,Communication Services,Internet Content & Information,42986400000.0,3902678192.0,3.9B,979593068.085,26880000000.0,10B-100B,10B-100B
UTHR,2026-03-09,news_gap,478.16,497.75,529.17,4.097,10.668,6.3124,0.5361,2.262,7.6419,4.7162,99.4836,2026-03-10,525.86,535.81,1.8921,581.69,,9.925,,True,False,8k|fmp_pr,[fmp_pr] United Therapeutics Corporation Announces $2 Billion Stock Repurchase Authorization and Enters into $1.5 Billion Accelerated Share Repurchase Program || [8k] UTHR: 8-K,,Healthcare,Biotechnology,24692962455.0,611561769.0,612M,151311900.44,22461537701.61,10B-100B,10B-100B
MRNA,2026-03-04,news_gap,49.83,53.58,57.8,7.5256,15.9944,7.8761,2.2587,4.791,3.3318,3.3384,98.6233,2026-03-05,56.96,53.83,-5.4951,49.2,47.3,-14.8789,-18.1661,False,True,fmp_pr|pr,,[fmp_pr] Roivant Announces Genevant Sciences' and Arbutus Biopharma's $2.25 Billion Global Settlement With Moderna || [fmp_pr] Moderna Resolves Global Patent Litigation with Arbutus/Genevant || [fmp_pr] Genevant Sciences and Arbutus Biopharma Announce $2.25 Billion Global Settlement With Moderna,Healthcare,Biotechnology,22013924079.0,1335390507.6,1.3B,454694206.0,22934230800.0,10B-100B,10B-100B
CRCL,2026-02-06,news_gap,50.23,53.81,57.04,7.1272,13.5576,6.0026,2.2174,4.9731,3.2142,2.7262,96.4497,2026-02-09,56.33,60.1,6.6927,118.09,85.1,107.0302,49.1935,False,True,fmp_pr|pr,,[fmp_pr] Circle and Polymarket Partner to Strengthen Onchain Financial Markets,Financial Services,Financial - Capital Markets,33050494931.0,998696248.0,999M,779369681.615,15191422188.24,10B-100B,10B-100B
GLW,2026-01-27,news_gap,94.95,102.07,109.74,7.4987,15.5766,7.5145,1.2101,2.4216,6.1969,6.4323,99.901,2026-01-28,107.89,104.28,-3.346,150.3,136.81,36.9601,24.6674,True,False,pr,"[pr] Corning and Meta Announce Multiyear, up to $6 Billion Agreement to Accelerate US Data Center Buildout",,Technology,"Hardware, Equipment & Parts",170664480698.0,2792501434.02,2.8B,419688996.255,94446394915.5,10B-100B,100B+
KTOS,2026-01-08,news_gap,91.44,99.53,104.04,8.8473,13.7795,4.5313,2.3864,4.3714,3.7073,3.1522,99.8262,2026-01-09,105.48,113.7,7.7929,98.81,88.92,-5.0269,-14.5329,True,False,pr,[pr] Kratos Applauds Focus on Reinvestment to Strengthen Defense Readiness || [pr] Northrop Grumman to Rapidly Develop Marine Corps CCA with Kratos’ Valkyrie UAS,,Industrials,Aerospace & Defense,17269488095.0,999754068.96,1000M,157671691.345,19509579135.36,10B-100B,10B-100B
MCHP,2026-01-06,news_gap,67.06,70.56,74.87,5.2192,11.6463,6.1083,1.5968,3.0092,3.2685,3.8702,99.4533,2026-01-07,73.06,73.94,1.2045,78.04,65.0,4.234,-13.1829,False,True,8k|pr,,[pr] Microchip Technology Provides Q3 Fiscal 2026 Business Update || [8k] MCHP: 8-K,Technology,Semiconductors,52868934247.0,1388097287.0,1.4B,490653620.65,40514811740.46,10B-100B,10B-100B
SATS,2025-12-10,news_gap,93.54,97.57,103.98,4.3083,11.161,6.5696,1.4066,2.6417,3.0629,4.225,99.476,2025-12-11,106.1,104.39,-1.6117,126.07,110.06,21.2445,5.8473,True,False,pr,[pr] Just in Time for Bowl Season: Sling TV Puts Customers in Control with New 3-Day Pass Subscription,,Technology,Communication Equipment,37289249972.0,1482197155.26,1.5B,174033694.405,29968590293.04,10B-100B,10B-100B
MCHP,2025-12-03,news_gap,56.71,59.3,63.61,4.5671,12.1672,7.2681,1.3768,2.5162,3.3172,4.8356,99.3503,2025-12-04,63.97,64.72,1.1724,67.06,78.23,5.4237,22.9838,True,True,pr,[pr] Microchip Halves the Power Required to Measure How Much Power Portable Devices Consume,[pr] Microchip Technology Raises Financial Guidance for Sales and EPS for Third Quarter of Fiscal Year 2026,Technology,Semiconductors,52868934247.0,1457077376.2,1.5B,497673883.45,34421626483.38,10B-100B,10B-100B
CCJ,2025-10-28,news_gap,86.62,100.53,106.91,16.0586,23.4242,6.3464,1.4668,2.8387,10.9481,8.2516,99.9749,2025-10-29,104.16,106.67,2.4098,88.81,92.84,-16.9301,-13.1606,True,False,pr,[pr] Cameco and Brookfield Establish Transformational Partnership With United States Government to Accelerate Deployment of Westinghouse Nuclear Reactors,,Energy,Uranium,50918103940.0,2641536021.85,2.6B,384179838.53,46554814780.0,10B-100B,10B-100B
BBIO,2025-10-27,news_gap,54.26,57.0,63.56,5.0498,17.1397,11.5088,1.3971,2.5457,3.6144,6.7329,98.8686,2025-10-28,63.02,64.5,2.3485,70.63,75.8,11.1233,19.2574,True,True,pr,[pr] BridgeBio Reports Positive Phase 3 Results for Small Molecule BBP-418 in LGMD2I/R9 FORTIFY Study,"[pr] BridgeBio to Report Phase 3 Results for Small Molecule BBP-418 in LGMD2I/R9 FORTIFY Study, along with Third Quarter 2025 Financial Results Next Week",Healthcare,Biotechnology,12917032950.0,539423931.76,539M,91852011.96,12448925160.0,10B-100B,10B-100B
BLD,2025-10-08,news_gap,396.24,413.53,436.17,4.3635,10.0772,5.4748,0.8647,1.9657,5.0463,5.1265,98.8426,2025-10-09,433.04,425.8,-1.6719,405.71,433.34,-6.9835,-0.6488,True,True,pr,[pr] TopBuild Acquires Specialty Products and Insulation (SPI) in All-Cash Transaction Valued at $1 Billion,"[pr] TopBuild to Release Third Quarter 2025 Results on Tuesday, November 4",Industrials,Engineering & Construction,11729370866.0,367691310.0,368M,123848404.34,12274765927.2,10B-100B,10B-100B
NXT,2025-08-18,news_gap,60.58,64.9,67.7,7.1311,11.7531,4.3143,2.1312,3.2963,3.346,3.5655,98.8889,2025-08-19,67.7,66.56,-1.6839,68.71,87.58,1.4919,29.3648,True,False,pr,[pr] Nextracker Releases Fiscal Year 2025 Sustainability Report,,Technology,Consumer Electronics,18614416437.0,439522481.6,440M,117646362.145,10051814571.1,10B-100B,10B-100B
TLN,2025-07-18,news_gap,264.0,310.0,328.63,17.4242,24.4811,6.0097,1.6222,2.2802,10.7408,10.7365,100.0,2025-07-21,327.6,310.14,-5.3297,376.89,408.09,14.6852,24.1792,False,True,pr,,"[pr] Talen Energy to Report Second Quarter 2025 Financial Results on August 7, 2025 || [pr] Talen Energy Expands and Enhances Portfolio with Best-in-Class CCGT Acquisitions in PJM",Utilities,Independent Power Producers,17117806572.0,1477290439.0,1.5B,245073120.0,15016749493.15,10B-100B,10B-100B
LCID,2025-07-17,news_gap,22.9,30.0,31.2,31.0044,36.2445,4.0,1.2659,3.7729,24.4914,9.6064,100.0,2025-07-18,30.1,30.4,0.9967,21.8,19.72,-30.1282,-36.7949,True,False,pr,"[pr] Lucid, Nuro, and Uber Partner on Next-Generation Autonomous Robotaxi Program || [pr] Lucid Files Preliminary Proxy Statement with the SEC to Initiate Plan for Reverse Stock Split",,Consumer Cyclical,Auto - Manufacturers,3407916232.0,2934932208.0,2.9B,278172596.6,10300524000.0,10B-100B,1B-10B
COIN,2025-05-13,news_gap,207.22,231.71,256.9,11.8184,23.9745,10.8713,3.087,5.0773,3.8285,4.7219,99.6094,2025-05-14,256.86,263.41,2.55,241.05,388.02,-6.1697,51.0393,True,False,pr,[pr] Thumzup Media Corporation Expands Capital Strategy With Bitcoin-Backed Credit Facility from Coinbase Prime,,Financial Services,Financial - Data & Stock Exchanges,54704729127.0,10049675210.4,10.0B,1195828416.51,67682743751.7,10B-100B,10B-100B
MAS,2025-05-12,news_gap,62.1,66.58,69.16,7.2142,11.3688,3.875,1.2314,2.364,5.8586,4.809,99.8964,2025-05-13,69.58,68.07,-2.1702,63.86,65.91,-7.6634,-4.6992,False,True,pr,,[pr] Masco Corporation Declares Quarterly Dividend,Industrials,Construction,14081063703.0,407042494.04,407M,155075833.82,13951953662.92,10B-100B,10B-100B
CORT,2025-03-31,news_gap,54.63,94.93,114.22,73.769,109.0793,20.3202,1.3697,3.5863,53.8565,30.4153,100.0,2025-04-01,114.68,91.93,-19.8378,71.88,77.56,-37.0688,-32.096,True,False,pr,[pr] Primary Endpoint Met in Corcept’s Pivotal Phase 3 ROSELLA Trial of Relacorilant in Patients with Platinum-Resistant Ovarian Cancer,,Healthcare,Biotechnology,5492128320.0,1637846268.0,1.6B,53968832.465,12261745440.0,10B-100B,1B-10B
CEG,2025-01-10,news_gap,243.84,282.49,305.19,15.8506,25.1599,8.0357,1.75,3.2257,9.0574,7.7998,100.0,2025-01-13,297.5,279.24,-6.1378,313.58,209.87,2.7491,-31.233,True,False,pr,[pr] Constellation To Acquire Calpine; Creates America’s Leading Producer of Clean and Reliable Energy to Meet Growing Demand for Customers and Communities,,Utilities,Renewable Utilities,104890322051.1757,4488490368.0,4.5B,615526435.0,95307806463.3,10B-100B,100B+
