ticker,event_date,event_type,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,news_same_day,news_prev_day,news_sources,news_titles_same_day,news_titles_prev_day,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
ETN,2026-04-08,news_gap,368.85,388.5,385.58,5.3274,4.5357,-0.7516,1.4145,2.1539,3.7663,2.1059,99.7553,2026-04-09,386.0,400.44,3.7409,,,,,True,False,fmp_pr,[fmp_pr] Eaton Expands Operations in Nebraska with New Manufacturing Facility to Meet Increasing Switchgear Demand Driven by AI Data Center Boom,,Industrials,Industrial - Machinery,155914099000.0,869531868.66,870M,827303324.48,149720714000.0,100B+,100B+
LOW,2026-04-08,news_gap,231.61,244.36,243.66,5.5049,5.2027,-0.2865,1.0869,1.8307,5.065,2.8419,99.8043,2026-04-09,241.0,247.81,2.8257,,,,,False,True,fmp_pr|pr,,"[fmp_pr] Lowe's Foundation Plans Expanded $250 Million Investment to Help Train and Develop 250,000 Tradespeople Over Next Decade, Increasing Skilled Trades Workforce Commitment Five-Fold",Consumer Cyclical,Home Improvement,131402872058.3882,618883242.36,619M,603575908.02,136464950580.0,100B+,100B+
MU,2026-04-08,news_gap,377.58,415.13,406.73,9.9449,7.7202,-2.0235,2.8315,4.4454,3.5123,1.7367,99.7243,2026-04-09,407.61,421.51,3.4101,,,,,True,False,pr,"[pr] SiMa.ai Secures Strategic Investment from Micron to Scale High-Performance, Power-Efficient Physical AI",,Technology,Semiconductors,864495263400.0,20017881140.09,20.0B,19202743747.0,458681622900.0,100B+,100B+
LMT,2026-01-08,news_gap,496.87,531.89,518.44,7.0481,4.3412,-2.5287,0.7695,1.5324,9.1595,2.8329,99.9752,2026-01-09,525.88,542.92,3.2403,638.29,649.47,23.1174,25.2739,False,True,pr,,"[pr] F-35 Breaks Delivery Record, Continues Combat Success in 2025",Industrials,Aerospace & Defense,141786940521.6578,2130166272.0,2.1B,581087980.515,119533396931.52002,100B+,100B+
DELL,2025-10-07,news_gap,145.76,152.8,150.87,4.8299,3.5058,-1.2631,1.4916,2.5997,3.238,1.3485,98.8676,2025-10-08,154.71,164.53,6.3474,152.41,138.91,1.0207,-7.9274,True,False,pr,[pr] Dell Technologies Increases Its Long-Term Financial Framework at Securities Analyst Meeting,,Technology,Computer Hardware,161305174411.0,2818734384.0,2.8B,845385868.0,101837517945.12,100B+,100B+
ETN,2025-04-23,news_gap,266.91,288.95,275.63,8.2575,3.267,-4.6098,2.4835,3.6335,3.3249,0.8991,100.0,2025-04-24,277.6,287.02,3.3934,321.07,343.26,16.4859,24.5365,False,True,pr,,"[pr] Eaton declares quarterly dividend payable May 23, 2025 || [pr] Eaton Earns First A Rating From CDP for Climate Disclosure",Industrials,Industrial - Machinery,155914099000.0,867966587.64,868M,994366011.3,107027129000.0,100B+,100B+
AMZN,2025-04-08,news_gap,175.26,185.23,170.66,5.6887,-2.6247,-7.8659,1.8106,2.1922,3.1419,-1.1973,99.284,2025-04-09,172.12,191.1,11.0272,192.08,216.98,12.5513,27.1417,True,False,pr,[pr] Introducing Amazon Nova Sonic: A New Gen AI Model for Building Voice Applications and Agents,,Consumer Cyclical,Specialty Retail,2859452322000.0,14968656864.0,15.0B,8574077390.5,1835806686000.0,100B+,100B+
BA,2025-04-08,news_gap,138.86,146.85,139.39,5.754,0.3817,-5.08,1.4405,2.8801,3.9944,0.1325,99.5571,2025-04-09,138.85,160.82,15.8228,191.7,217.51,37.5278,56.0442,True,True,pr,[pr] Boeing Announces First Quarter Deliveries,[pr] Millennium Space Systems Completes FOO Fighter Critical Design Review in Just 10 Months,Industrials,Aerospace & Defense,186725094740.0,2025044259.78,2.0B,1346317994.62,109881415779.99998,100B+,100B+
CVNA,2025-04-08,news_gap,167.87,184.91,176.32,10.1507,5.0337,-4.6455,2.8443,5.7769,3.5688,0.8713,98.7976,2025-04-09,176.48,220.44,24.9093,285.53,339.91,61.9385,92.7802,True,False,pr,[pr] Carvana Announces Auction-IRC ‘Megasite’ Integration in Phoenix Area,,Consumer Cyclical,Auto - Dealerships,79902910760.0,1812199328.0,1.8B,1016535217.0,191133919756.8,100B+,10B-100B
RTX,2025-04-08,news_gap,117.32,123.01,120.46,4.85,2.6764,-2.073,1.0918,1.9399,4.4421,1.3797,99.5227,2025-04-09,119.02,128.43,7.9062,128.67,140.98,6.8155,17.0347,True,False,pr,[pr] RTX's Collins Aerospace joins the Digital Alliance for Aviation to expand predictive maintenance and health monitoring solutions || [pr] RTX's Collins Aerospace unveils enhanced self-service solutions at Passenger Terminal Expo || [pr] RTX's Pratt & Whitney launches additive GTF repair solution to improve turnaround time,,Industrials,Aerospace & Defense,279504540725.0,976761956.0,977M,600744824.4,162221072800.0,100B+,100B+
ORCL,2025-01-22,news_gap,172.57,191.51,184.22,10.9753,6.7509,-3.8066,1.5857,2.1756,6.9214,3.103,99.7452,2025-01-23,181.64,186.47,2.6591,167.81,154.87,-8.9078,-15.932,False,True,pr,,[pr] Oracle AI Agents Help Sales Teams Create More Meaningful Customer Connections || [pr] Oracle Named a Leader in the 2024 Gartner® Magic Quadrant™ for Cloud Database Management Systems || [pr] WE Fashion Restyles its Operations with Oracle Cloud,Technology,Software - Infrastructure,537216632340.0,8847813585.96,8.8B,1198770639.49,529825194120.0,100B+,100B+
