ticker,event_date,event_type,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,news_same_day,news_prev_day,news_sources,news_titles_same_day,news_titles_prev_day,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
LAES,2025-10-23,news_gap,5.4,6.01,5.72,11.2963,5.9259,-4.8253,3.282,8.7006,3.4419,0.6811,96.2046,2025-10-24,5.92,7.01,18.4122,3.77,4.16,-34.0909,-27.2727,False,True,pr,,[pr] PQC Market Explodes: Quantum Threat Forces Urgent $2.84B Investment Surge || [pr] SEALSQ Unveils Quantum Shield QS7001 and Further Advances its Plans to Expand Made in U.S. Footprint with New Post-Quantum Personalization Center Planned in California or Arizona,Technology,Semiconductors,771033018.0,203404344.0,203M,242146954.72,815636250.0,300M-1B,300M-1B
GSIT,2025-10-21,news_gap,12.97,15.68,10.86,20.8944,-16.2683,-30.7398,6.2742,20.7253,3.3302,-0.7849,99.8972,2025-10-22,10.19,12.89,26.4966,7.07,5.94,-34.8987,-45.3039,True,True,pr,[pr] GSI Technology Announces Pricing of $50 Million Registered Direct Offering of Common Stock and Pre-Funded Warrants,"[pr] Compute-In-Memory APU Achieves GPU-Class AI Performance at a Fraction of the Energy Cost || [pr] GSI Technology to Announce Fiscal Second Quarter 2026 Results on October 30, 2025",Technology,Semiconductors,336733380.0,670267612.38,670M,956161.5,316891205.34,300M-1B,300M-1B
SLDB,2025-02-18,news_gap,4.03,6.68,5.3,65.7568,31.5136,-20.6587,4.2115,5.2996,15.6137,5.9464,100.0,2025-02-19,5.45,6.47,18.7156,4.82,2.55,-9.0566,-51.8868,True,False,pr,[pr] Solid Biosciences Announces Pricing of Underwritten Offering || [pr] Solid Biosciences Reports Positive Initial Clinical Data from Next-Generation Duchenne Gene Therapy Candidate SGT-003,,Healthcare,Biotechnology,624840162.0,377400280.0,377M,1765475.52,412924060.0,300M-1B,300M-1B
SERV,2024-12-09,news_gap,11.8,12.8,11.98,8.4746,1.5254,-6.4063,2.4778,7.5169,3.4203,0.2029,93.617,2024-12-10,11.82,13.74,16.2437,18.74,18.84,56.4274,57.2621,True,False,pr,[pr] Serve Robotics Announces Appointment of Lily Sarafan to its Board of Directors,,Industrials,Industrial - Machinery,706848231.0,200670990.0,201M,35632752.0,738580920.76,300M-1B,300M-1B
UMAC,2024-11-27,news_gap,5.36,10.16,9.89,89.5522,84.5149,-2.6575,4.3626,9.3823,20.5271,9.0079,100.0,2024-11-29,14.25,18.73,31.4386,19.31,12.04,95.2477,21.7391,True,False,pr,[pr] Donald Trump Jr. Joins Unusual Machines as an Advisor,,Financial Services,Shell Companies,611466680.3717,562137710.0,562M,490692.435,384577140.06,300M-1B,300M-1B
GEVO,2024-10-17,news_gap,2.25,3.08,2.65,36.8889,17.7778,-13.961,2.7017,8.5539,13.6537,2.0783,100.0,2024-10-18,2.51,3.13,24.7012,1.43,1.57,-46.0377,-40.7547,False,True,pr,,[pr] Gevo Secures Conditional Commitment from U.S. Department of Energy Loan Programs Office for its Net-Zero 1 Sustainable Aviation Fuel Plant in South Dakota,Basic Materials,Chemicals - Specialty,543918152.0,135751020.0,136M,9789321.23,645039150.0,300M-1B,300M-1B
ANNX,2024-06-04,news_gap,4.58,6.03,5.99,31.6594,30.786,-0.6633,3.208,6.3379,9.8689,4.8574,100.0,2024-06-05,5.9,6.79,15.0847,4.49,5.41,-25.0417,-9.6828,True,True,pr,[pr] Annexon Announces Proposed Public Offering of Common Stock || [pr] Annexon Announces Positive Topline Results from Pivotal Phase 3 Trial for First-in-Class C1q Blocking Antibody ANX005 in Guillain-Barré Syndrome,[pr] Annexon Biosciences to Host Conference Call and Webcast to Discuss GBS Phase 3 Data,Healthcare,Biotechnology,809034898.0,289047096.59,289M,7007197.5,716374355.49,300M-1B,300M-1B
CTMX,2023-01-06,news_gap,1.79,2.96,2.52,65.3631,40.7821,-14.8649,3.4211,5.4506,19.1057,7.4822,100.0,2023-01-09,2.46,2.88,17.0732,2.75,1.96,9.127,-22.2222,False,True,pr,,[pr] CytomX Therapeutics Provides Business Update and Outlines 2023 Company Priorities,Healthcare,Biotechnology,852260069.0,129491391.96,129M,1081798.14,405275293.08,300M-1B,300M-1B
ARDX,2022-11-17,news_gap,1.22,1.97,1.72,61.4754,40.9836,-12.6904,1.556,5.0934,39.5083,8.0465,100.0,2022-11-18,1.81,2.08,14.9171,1.76,3.14,2.3256,82.5581,False,True,pr,,[pr] Ardelyx Announces FDA Advisory Committee Votes that the Benefits of XPHOZAH® (tenapanor) Outweigh its Risks for the Control of Serum Phosphorus in Adult Patients with Chronic Kidney Disease on Dialysis || [pr] Ardelyx Stock Trading Halted Today; FDA Advisory Committee to Discuss XPHOZAH® (tenapanor) for the Control of Serum Phosphorus in Adult Patients with Chronic Kidney Disease on Dialysis,Healthcare,Biotechnology,1632861690.0,222988368.0,223M,4236185.0,424889880.0,300M-1B,1B-10B
TRVI,2022-06-29,news_gap,2.02,2.47,2.45,22.2772,21.2871,-0.8097,2.6455,9.558,8.4207,2.2271,99.6212,2022-06-30,2.45,2.81,14.6939,3.06,3.37,24.898,37.551,True,False,pr,[pr] Trevi Therapeutics Reports Positive Results from the Ph2b/3 PRISM Trial of Haduvio™ in the Treatment of Prurigo Nodularis,,Healthcare,Biotechnology,2095620490.0,158098027.15,158M,250320.21,347850284.6,300M-1B,1B-10B
SIGA,2022-05-19,news_gap,7.39,8.76,8.65,18.5386,17.0501,-1.2557,1.0276,2.4633,18.0398,6.9218,100.0,2022-05-20,9.11,12.4,36.1142,11.86,14.18,37.1098,63.9306,True,False,pr,[pr] SIGA Receives Approval from the FDA for Intravenous (IV) Formulation of TPOXX® (tecovirimat),,Healthcare,Drug Manufacturers - Specialty & Generic,401023302.0,343553866.5,344M,1269788.76,620413439.0500001,300M-1B,300M-1B
CGEM,2022-05-12,news_gap,7.31,9.08,9.0,24.2134,23.119,-0.8811,1.7198,5.1062,14.0795,4.5276,100.0,2022-05-13,9.33,10.62,13.8264,12.04,13.9,33.7778,54.4444,True,False,pr,[pr] Cullinan Oncology and Taiho Pharmaceutical Announce Strategic Collaboration to Jointly Develop and Commercialize CLN-081/TAS6417 and Taiho’s Acquisition of Cullinan Pearl,,Healthcare,Medical - Pharmaceuticals,992546700.0,131988186.0,132M,1725082.72,553122000.0,300M-1B,300M-1B
ZYME,2022-04-29,news_gap,4.96,7.19,6.11,44.9597,23.1855,-15.0209,1.536,4.7325,29.2698,4.8992,100.0,2022-05-02,6.15,6.87,11.7073,6.72,5.3,9.9836,-13.257,False,True,pr,,"[pr] Zymeworks Confirms Receipt of Unsolicited, Non-Binding Proposal from All Blue Falcons || [pr] Zymeworks Reports Last Patient Enrolled in Pivotal Study of Zanidatamab in Treatment of HER2-Expressing Late-Line Biliary Tract Cancer",Healthcare,Biotechnology,1758417262.0,223878984.55,224M,5219583.875,449536797.84,300M-1B,1B-10B
