ticker,event_date,event_type,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,news_same_day,news_prev_day,news_sources,news_titles_same_day,news_titles_prev_day,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
MSTR,2024-11-11,news_gap,270.42,297.0,340.0,9.8292,25.7303,14.4781,2.9215,5.4182,3.3644,4.7489,99.5451,2024-11-12,334.77,356.59,6.5179,411.4,342.17,21.0,0.6382,True,False,pr,"[pr] MicroStrategy Announces BTC and ATM Activity; Raised $2.03 billion; Purchased 27,200 BTC; Now Holds 279,420 BTC with BTC Yield of 26.4% YTD",,Technology,Software - Application,54786145121.0,16087348200.0,16.1B,5083577665.42,101004713920.0,100B+,10B-100B
UBER,2024-02-14,news_gap,68.99,74.6,79.15,8.1316,14.7268,6.0992,1.0993,1.6159,7.397,9.1134,99.5826,2024-02-15,79.0,81.39,3.0253,76.07,74.13,-3.8913,-6.3424,True,True,pr,[pr] Uber Announces Inaugural $7 Billion Share Repurchase Authorization,"[pr] Türkiye’s First Direct NYSE-Listed Company, Marti Technologies, Benefits As Ride Hailing Takes Off",Technology,Software - Application,155438416000.0,5528362505.8,5.5B,1297643567.76,161117740000.0,100B+,100B+
AMZN,2023-10-27,news_gap,119.57,126.2,127.74,5.5449,6.8328,1.2203,1.5365,2.1484,3.6087,3.1804,99.1614,2023-10-30,129.72,132.71,2.305,147.03,153.38,15.101,20.072,False,True,pr,,[pr] Amazon.com Announces Third Quarter Results,Consumer Cyclical,Specialty Retail,2859452322000.0,16003818142.62,16.0B,6046324438.28,1374111954000.0,100B+,100B+
AMD,2023-05-25,news_gap,108.27,117.305,120.35,8.3449,11.1573,2.5958,1.4629,2.7842,5.7043,4.0074,99.7297,2023-05-26,122.46,127.03,3.7318,110.39,111.1,-8.2759,-7.6859,False,True,pr,,"[pr] AMD to Participate in Bank of America Global Technology Conference || [pr] AMD Introduces AMD Radeon RX 7600 Graphics Card  for Superb, Next-Gen 1080p Gaming",Technology,Semiconductors,730981674000.0,13059734396.65,13.1B,7100971604.64,196242710000.0,100B+,100B+
AAPL,2022-11-10,news_gap,134.87,141.24,146.87,4.7231,8.8975,3.9861,1.1993,2.3645,3.9381,3.7629,100.0,2022-11-11,145.82,149.7,2.6608,144.49,133.41,-1.6205,-9.1646,False,True,pr,,"[pr] Koinal adds Fuel to Crypto Fire with Raft of New Features Including Apple Pay, Making Crypto Even More Accessible and Secure",Technology,Consumer Electronics,4329832548800.0,17456091092.36,17.5B,12644124698.715,2157131975720.0,100B+,100B+
AMD,2022-11-10,news_gap,59.92,64.3,68.47,7.3097,14.269,6.4852,2.0294,3.503,3.6019,4.0734,99.1525,2022-11-11,69.58,72.37,4.0098,70.67,70.8,3.2131,3.403,True,False,pr,"[pr] Offering Unmatched Performance, Leadership Energy Efficiency and Next-Generation Architecture, AMD Brings 4th Gen AMD EPYC™ Processors to The Modern Data Center || [pr] Fostering a Culture of Diversity, Belonging and Inclusion at AMD",,Technology,Semiconductors,730981674000.0,7394454007.57,7.4B,4881980940.025,111647182000.0,100B+,100B+
AMZN,2022-11-10,news_gap,86.14,92.94,96.63,7.8941,12.1779,3.9703,2.2017,2.7567,3.5855,4.4176,99.1525,2022-11-11,97.88,100.79,2.973,90.55,95.27,-6.292,-1.4074,False,True,pr,,"[pr] Amazon Helps Disrupt Three Major Counterfeit Networks, Protecting Customers Worldwide from Fake Goods || [pr] AWS Launches Infrastructure Region in Switzerland",Consumer Cyclical,Specialty Retail,2859452322000.0,16757081787.0,16.8B,7889429343.0,1039458573000.0,100B+,100B+
CMCSA,2022-11-10,news_gap,31.39,32.73,32.77,4.2689,4.3963,0.1222,1.0428,2.1383,4.0935,2.056,99.8454,2022-11-11,33.13,34.02,2.6864,36.52,38.69,11.4434,18.0653,False,True,pr,,[pr] Comcast Appoints Michael Slovin Vice President and General Manager of Comcast Smart Solutions,Communication Services,Telecommunications Services,104373513709.5693,1033210245.5,1.0B,885218131.5,117061937055.06,100B+,100B+
TMO,2022-11-10,news_gap,484.71,507.02,520.58,4.6028,7.4003,2.6745,0.9856,1.8771,4.6698,3.9424,99.7528,2022-11-11,526.86,538.68,2.2435,567.6,581.54,9.0322,11.71,True,False,pr,[pr] Thermo Fisher Scientific Authorizes $4 Billion of Share Repurchases || [pr] Thermo Fisher Scientific Declares Quarterly Dividend,,Healthcare,Medical - Diagnostics & Research,177614056495.2142,1008675808.0,1.0B,951734609.685,193458460180.0,100B+,100B+
CRM,2021-09-23,news_gap,259.17,270.0,277.86,4.1787,7.2115,2.9111,0.6801,1.139,6.1444,6.3314,99.2201,2021-09-24,278.5,285.63,2.5601,292.56,296.84,5.2904,6.8308,True,False,pr,"[pr] Salesforce Raises FY22 Revenue Guidance; Initiates FY23 Revenue, GAAP Operating Margin, and Non-GAAP Operating Margin Guidance",,Technology,Software - Application,180252674504.9239,4339395192.0,4.3B,1438262790.0,263964127483.32,100B+,100B+
MRNA,2021-07-16,news_gap,259.67,276.92,286.43,6.643,10.3054,3.4342,1.8921,3.4622,3.511,2.9765,97.0948,2021-07-19,284.54,313.59,10.2095,373.86,434.46,30.524,51.681,False,True,pr,,"[pr] Moderna to Report Second Quarter Financial Results on Thursday, August 5, 2021",Healthcare,Biotechnology,22013924079.0,11858202000.0,11.9B,1603080200.0,113651413980.0,100B+,10B-100B
