ticker,event_date,event_type,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,news_same_day,news_prev_day,news_sources,news_titles_same_day,news_titles_prev_day,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
STAA,2026-04-09,news_gap,20.88,24.85,25.21,19.0134,20.7375,1.4487,1.3173,3.1953,14.4341,6.4901,99.9082,2026-04-10,25.21,26.44,4.879,,,,,False,True,8k|fmp_pr|pr,,[fmp_pr] STAAR Surgical Announces Preliminary Net Sales for First Quarter 2026 || [8k] STAA: 8-K,Healthcare,Medical - Instruments & Supplies,1395267886.0,140550792.0,141M,18909894.09,1248215167.0,1B-10B,1B-10B
LWLG,2026-03-12,news_gap,5.02,6.0,7.08,19.5219,41.0359,18.0,3.4433,7.2963,5.6696,5.6242,100.0,2026-03-13,7.04,7.61,8.0966,11.39,,60.8757,,False,True,fmp_pr|pr,,"[fmp_pr] Lightwave Logic and Tower Semiconductor Announce Development Agreement to Enable High-Speed, Low-Power Modulators on Tower's PH18 Silicon Photonics Platform",Basic Materials,Chemicals - Specialty,2399228610.0,223825774.8,224M,7280917.69,1066323798.48,1B-10B,1B-10B
SGML,2026-02-25,news_gap,12.6,14.91,16.37,18.3333,29.9206,9.7921,4.3751,7.7572,4.1904,3.8571,99.6354,2026-02-26,15.03,16.22,7.9175,9.7,20.71,-40.7453,26.5119,False,True,fmp_pr,,[fmp_pr] INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Sigma Lithium Corporation - SGML,Basic Materials,Industrial Materials,2326094202.0,295573446.0,296M,34245753.855,1823666766.23,1B-10B,1B-10B
PVLA,2026-02-24,news_gap,87.84,113.0,120.41,28.643,37.0788,6.5575,1.9185,5.0429,14.93,7.3526,99.8214,2026-02-25,122.71,128.6,4.7999,120.39,123.59,-0.0166,2.641,True,True,8k|fmp_pr|pr,[fmp_pr] Palvella Therapeutics Announces Proposed Public Offering || [fmp_pr] Palvella Therapeutics Announces Positive Topline Results from Phase 3 SELVA Clinical Study of QTORIN™ 3.9% Rapamycin Anhydrous Gel (QTORIN™ rapamycin) in Microcystic Lymphatic Malformations || [8k] PVLA: 8-K,[fmp_pr] Palvella Therapeutics to Host Conference Call to Discuss Topline Results from Phase 3 SELVA Clinical Trial of QTORIN™ 3.9% Rapamycin Anhydrous Gel (QTORIN™ rapamycin) in Microcystic Lymphatic Malformations,Healthcare,Biotechnology,1869576118.0,144010360.0,144M,21892751.55,1425344946.3,1B-10B,1B-10B
NKTR,2026-02-10,news_gap,37.07,47.15,56.0,27.1918,51.0656,18.7699,1.6979,4.6122,16.0153,11.0719,99.9506,2026-02-11,59.0,66.35,12.4576,70.36,80.45,25.6429,43.6607,True,True,8k|fmp_pr|pr,[fmp_pr] Nektar Therapeutics Announces Proposed Public Offering || [fmp_pr] New REZOLVE-AD Maintenance Data in Atopic Dermatitis Demonstrate Rezpegaldesleukin Resulted in Durable and New Responses Across Key Disease Measurements with Both Monthly and Quarterly Dosing || [8k] NKTR: 8-K,"[fmp_pr] Nektar to Hold Conference Call to Discuss Topline Results from the 36-Week Maintenance Period for its REZOLVE-AD Phase 2b Study of Rezpegaldesleukin in Atopic Dermatitis on February 10, 2026",Healthcare,Biotechnology,1934783774.0,488404952.0,488M,22376506.04,1094291520.0,1B-10B,1B-10B
BITF,2026-02-06,news_gap,1.71,1.91,2.14,11.6959,25.1462,12.0419,3.7743,6.3921,3.0988,3.934,99.0449,2026-02-09,2.05,2.26,10.2439,2.16,2.1,0.9346,-1.8692,True,False,fmp_pr|pr,[fmp_pr] Bitfarms Announces U.S. Redomiciliation Plan and Intent to Rebrand as Keel Infrastructure,,Financial Services,Financial - Capital Markets,1617688663.0,126771258.84,127M,96294303.1,1290101433.18,1B-10B,1B-10B
GLXY,2026-02-06,news_gap,16.84,19.63,19.76,16.5677,17.3397,0.6623,2.9284,6.138,5.6576,2.825,99.5754,2026-02-09,19.35,21.15,9.3023,21.83,21.15,10.4757,7.0344,True,False,fmp_pr|pr,[fmp_pr] Galaxy Announces $200 Million Share Repurchase Program,,Financial Services,Financial - Capital Markets,10408339598.0,250390816.0,250M,213443707.23,6554136088.240001,1B-10B,10B-100B
IBRX,2026-01-14,news_gap,2.82,2.99,3.02,6.0284,7.0922,1.0033,1.7553,4.5796,3.4344,1.5487,98.1756,2026-01-15,3.14,3.95,25.7962,5.95,8.21,97.0199,171.8543,True,True,8k|pr,[pr] Saudi FDA Grants Accelerated Approval to ImmunityBio’s ANKTIVA® for Non-Muscle Invasive Bladder Cancer with Carcinoma In-Situ || [pr] Saudi FDA Grants Accelerated Approval to ImmunityBio’s ANKTIVA® In Combination with Checkpoint Inhibitors for Metastatic Non-Small Cell Lung Cancer || [8k] IBRX: 8-K,[pr] ImmunityBio Announces Positive Results Demonstrating ANKTIVA® as a Lymphocyte Stimulating Agent in Combination With Checkpoint Inhibitors in Non-Small Cell Lung Cancer,Healthcare,Biotechnology,8687541558.0,137737972.0,138M,25135844.5,3162996996.98,1B-10B,1B-10B
ELVN,2026-01-08,news_gap,15.47,16.74,23.25,8.2094,50.2909,38.8889,0.8877,4.3893,9.2482,11.4577,98.7688,2026-01-09,23.58,26.0,10.2629,28.08,30.7,20.7742,32.043,True,True,8k|pr,[pr] Enliven Reports Positive Initial Phase 1b Data for ELVN-001 in CML and Outlines 2026 Clinical Milestones,[pr] Enliven Therapeutics Bolsters Board to Prepare for Next Phase of Development || [8k] ELVN: 8-K,Healthcare,Biotechnology,2576277270.0,220572750.0,221M,12696138.755,1416038925.0,1B-10B,1B-10B
GLUE,2026-01-07,news_gap,16.01,21.91,23.28,36.852,45.4091,6.2529,1.3956,5.7651,26.4058,7.8765,99.9121,2026-01-08,23.36,25.31,8.3476,19.55,17.28,-16.0223,-25.7732,True,True,8k|pr,[pr] Monte Rosa Therapeutics Announces Proposed Public Offering of Common Stock and Pre-Funded Warrants || [pr] Monte Rosa Therapeutics Announces Positive Interim Phase 1 Data of MRT-8102 Demonstrating Profound CRP Reductions in Elevated CVD-risk Subjects || [8k] GLUE: 8-K,[pr] Monte Rosa Therapeutics to Present Interim MRT-8102 Phase 1 Study Results,Healthcare,Biotechnology,1346447125.0,540298536.0,540M,14564264.4,1516059552.24,1B-10B,1B-10B
