ticker,event_date,event_type,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,news_same_day,news_prev_day,news_sources,news_titles_same_day,news_titles_prev_day,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
CABA,2026-05-04,news_gap,2.94,3.18,3.83,8.1633,30.2721,20.4403,1.826,4.8104,4.4705,6.293,99.1863,2026-05-05,3.79,4.15,9.4987,,,,,True,False,8k|fmp_pr,[fmp_pr] Cabaletta Bio Announces Pricing of $150 Million Underwritten Offering || [8k] CABA: 8-K,,Healthcare,Biotechnology,349442691.0,111706929.0,112M,5753452.46,368695731.32,300M-1B,300M-1B
LRMR,2026-02-24,news_gap,2.81,3.59,3.69,27.758,31.3167,2.7855,0.9382,4.4029,29.5867,7.1128,100.0,2026-02-25,3.66,5.95,62.5683,4.68,4.54,26.8293,23.0352,True,False,fmp_pr,[fmp_pr] Larimar Therapeutics Announces FDA Breakthrough Therapy Designation for Nomlabofusp in FA and Reiterates Planned BLA Submission in June 2026,,Healthcare,Biotechnology,487009341.0,259866036.0,260M,2590983.93,315783011.88,300M-1B,300M-1B
FULC,2025-12-08,news_gap,8.9,12.96,12.99,45.618,45.9551,0.2315,1.7063,5.2144,26.7351,8.8131,100.0,2025-12-09,12.72,14.6,14.7799,10.11,10.23,-22.1709,-21.2471,True,False,pr,[pr] Fulcrum Therapeutics Announces Proposed $150.0 Million Public Offering of Common Stock,,Healthcare,Biotechnology,528805688.0,321088248.9,321M,6777199.08,702906800.22,300M-1B,300M-1B
ABAT,2025-10-13,news_gap,6.75,7.9,9.22,17.037,36.5926,16.7089,4.1605,7.3153,4.095,5.0022,99.6898,2025-10-14,10.03,11.33,12.9611,4.06,4.27,-55.9653,-53.6876,True,False,pr,"[pr] American Battery Technology Company Completes All Required NEPA Baseline Studies for its Tonopah Flats Lithium Project, One of the Largest Critical Mineral Lithium Projects in the U.S.",,Basic Materials,Industrial Materials,439908863.0,420089938.0,420M,66976337.12,968432325.68,300M-1B,300M-1B
AEHR,2025-07-22,news_gap,16.45,19.25,20.1,17.0213,22.1884,4.4156,3.0453,4.9293,5.5894,4.5013,99.6118,2025-07-23,20.06,22.18,10.5683,17.38,29.95,-13.5323,49.005,True,False,pr,[pr] Aehr Strengthens AI Market Share with Additional Orders for Sonoma Production Test and Burn-in Systems,,Technology,Semiconductors,3042158727.0,137566410.0,138M,21774839.715,632210405.4000001,300M-1B,1B-10B
RCAT,2025-07-11,news_gap,6.78,8.1,8.57,19.469,26.4012,5.8025,3.5597,6.2745,5.4693,4.2077,95.2725,2025-07-14,8.69,10.33,18.8723,9.37,8.52,9.3349,-0.5834,False,True,pr,,[pr] Quantum Computing Emerging as a Transformative Technology with Potential Applications in Drone Technology,Technology,Computer Hardware,1682536243.0,366369479.67,366M,57334049.0,847202741.72,300M-1B,1B-10B
NKTR,2025-06-24,news_gap,9.54,19.92,24.45,108.805,156.2893,22.741,3.6494,7.5743,29.8145,20.6341,100.0,2025-06-25,24.88,29.12,17.0418,24.58,27.03,0.5317,10.5521,True,True,pr,[pr] REZOLVE-AD Phase 2b Study of Rezpegaldesleukin Meets Primary and Key Secondary Endpoints in Patients with Moderate-to-Severe Atopic Dermatitis,"[pr] Nektar to Announce Top-line Data from the 16-Week Induction Period in REZOLVE-AD Phase 2b Study of Rezpegaldesleukin, a Regulatory T-cell Proliferator, in Atopic Dermatitis on June 24, 2025",Healthcare,Biotechnology,1934783774.0,908873297.4,909M,14069019.07,477775494.0,300M-1B,1B-10B
TERN,2024-09-09,news_gap,7.81,8.6,9.12,10.1152,16.7734,6.0465,2.8355,5.157,3.5673,3.2526,99.4451,2024-09-10,9.64,11.23,16.4938,7.81,7.24,-14.364,-20.614,True,False,pr,[pr] Terns Announces Proposed Public Offering || [pr] Terns Pharmaceuticals Announces Positive Phase 1 Clinical Trial Results with TERN-601 Once-Daily Oral GLP-1R Agonist for the Treatment of Obesity,,Healthcare,Biotechnology,4769614109.0,214131608.16,214M,6232922.035,821508605.7599999,300M-1B,1B-10B
QURE,2024-07-09,news_gap,3.78,6.19,6.67,63.7566,76.455,7.7544,1.2713,2.8958,50.1491,26.4019,100.0,2024-07-10,6.65,10.12,52.1805,7.12,5.42,6.7466,-18.7406,True,False,pr,[pr] uniQure Announces Positive Interim Data Update Demonstrating Slowing of Disease Progression in Phase I/II Trials of AMT-130 for Huntington’s Disease,,Healthcare,Biotechnology,1819605540.0,343474791.57,343M,2175108.01,410897346.0,300M-1B,1B-10B
WGS,2024-04-30,news_gap,11.0,14.28,17.07,29.8182,55.1818,19.5378,1.8629,7.8481,16.0067,7.0313,99.8855,2024-05-01,17.04,20.92,22.77,20.39,28.69,19.4493,68.0726,False,True,pr,,[pr] GeneDx Reports First Quarter 2024 Financial Results and Business Highlights,Healthcare,Medical - Healthcare Information Services,2334610000.0,124371985.86,124M,1617377.315,506774160.0,300M-1B,1B-10B
AAOI,2023-08-04,news_gap,6.59,8.37,11.01,27.0106,67.0713,31.5412,2.9949,9.0261,9.0187,7.4308,100.0,2023-08-07,11.07,12.38,11.8338,12.95,8.91,17.6203,-19.0736,False,True,pr,,[pr] Applied Optoelectronics Reports Second Quarter 2023 Results,Technology,Semiconductors,15108108171.0,349796166.69,350M,27741016.915,883472864.67,300M-1B,10B-100B
AUPH,2023-01-03,news_gap,4.32,5.64,5.94,30.5556,37.5,5.3191,3.8701,5.6498,7.8953,6.6374,99.6488,2023-01-04,6.055,6.72,10.9827,9.32,9.17,56.9024,54.3771,True,False,pr,[pr] Aurinia Reports New Inducement Grants Under Nasdaq Listing Rule 5635(c)(4) || [pr] Aurinia Announces LUPKYNIS® (voclosporin) Patent Challenge Settlement Reached With Sun Pharmaceuticals,,Healthcare,Biotechnology,2056345980.0,109930647.42,110M,7174906.41,763895880.0,300M-1B,1B-10B
ORIC,2022-12-22,news_gap,3.0,4.39,4.79,46.3333,59.6667,9.1116,2.0375,5.6664,22.7399,10.5298,100.0,2022-12-23,4.72,5.78,22.4576,5.92,4.42,23.5908,-7.7244,False,True,pr,,[pr] ORIC Pharmaceuticals Announces Clinical Development Collaboration with Pfizer for ORIC-533 in Multiple Myeloma and Concurrent $25 Million Equity Investment by Pfizer,Healthcare,Biotechnology,1169173526.0,140495034.95,140M,257306.06,495849121.98,300M-1B,1B-10B
INBX,2022-10-04,news_gap,20.18,25.08,29.76,24.2815,47.4727,18.6603,1.8235,5.9294,13.3156,8.0064,100.0,2022-10-05,28.98,32.02,10.49,32.04,32.5,7.6613,9.207,True,True,pr,[pr] Inhibrx Announces Opportunity for Accelerated Approval Pathway on Functional AAT Serum Levels for INBRX-101 in AATD and Announces Bronchoalveolar Lavage Fluid Detection Results from the Phase 1 Study,"[pr] Inhibrx To Host Webcast to Announce Regulatory Pathway for INBRX-101, its Optimized Recombinant Human AAT-Fc Protein for the Treatment of Alpha-1 Antitrypsin Deficiency",Healthcare,Biotechnology,1587081624.0,223359245.76,223M,8380508.955,434712831.36,300M-1B,1B-10B
