Symbol,Description,Price,Price - Currency,Pre-market Change %,Price Change % 1 day,Post-market Change %,Market capitalization,Market capitalization - Currency,Price to earnings ratio,Price * Volume (Turnover) 1 day,Price * Volume (Turnover) 1 day - Currency,Price * Volume (Turnover) 1 month,Price * Volume (Turnover) 1 month - Currency,Upcoming earnings date,"Net income growth %, Quarterly QoQ","Revenue growth %, Quarterly QoQ",Industry,Sector
TXN,Texas Instruments Incorporated,219.73,USD,-0.6603989910570959,0.7704654895666032,0.0682655986893031,199416115875,USD,40.35148933044404,1199255577.8,USD,26573405490.17,USD,2026-04-28,-14.749262536873156,-6.727119358920287,Semiconductors,Electronic technology
KLAC,KLA Corporation,1496,USD,-1.0129940812300224,1.7756309953057967,0.002005347593581064,196090615112,USD,43.4599462560825,1023708312,USD,24447235560,USD,2026-04-23,2.1981374438021835,2.662949768280653,Semiconductors,Electronic technology
T,AT&T Inc.,27.98,USD,0.32281205164992777,0.3586800573888143,0.10721944245890329,195876145408.99997,USD,9.175876430656215,710234415.08,USD,17551762813.18,USD,2026-04-29,-59.33004079879751,8.977824090657462,Wireless telecommunications,Communications
ABT,Abbott Laboratories,112.21,USD,0.008824315892683659,0.017826900793293538,0,195118819720,USD,30.187511769928168,796581707.4599999,USD,15932606000.009998,USD,2026-04-22,12.5,0.7916263523616853,Medical specialties,Health technology
NEE,"NextEra Energy, Inc.",92.18,USD,0.3928415539065904,0.5892623308598933,0.10848340203948179,192059056075.00003,USD,27.93079417022695,661443858.24,USD,11434199026.58,USD,2026-04-28,-37.038556193601316,-6.1187845303867405,Electric utilities,Utilities
TMO,Thermo Fisher Scientific Inc,510.93,USD,-0.1960708184500681,-0.8134027022829627,0,191960520865,USD,28.802313520339137,696156941.97,USD,19394263626.57,USD,2026-04-29,22.215346534653467,9.827369178205359,Medical specialties,Health technology
GILD,"Gilead Sciences, Inc.",151.4,USD,-0.17866596082584055,0.18528321863419875,0.006605019815053437,187838878634,USD,22.330383480825958,1057828469.2,USD,16751731273.800001,USD,2026-04-23,-28.473132372214945,1.8114080164439876,Biotechnology,Health technology
APH,Amphenol Corporation,151.04,USD,0.05952380952381178,-0.10582010582010357,-0.02648305084745236,185660601747,USD,45.231036444763866,1127876247.04,USD,22561936970.239998,USD,2026-04-29,-4.029862727783576,3.9487278832493864,Electronic components,Electronic technology
BA,Boeing Company (The),232.03,USD,-0.30379530186984205,-0.7188395875230015,-0.03447830021980455,182224088263.00003,USD,122.38514689593333,1267082649.71,USD,19830980171.33,USD,2026-04-29,,2.9093253115599484,Aerospace & defense,Electronic technology
ISRG,"Intuitive Surgical, Inc.",504.05,USD,-0.33231237363120697,0.9048505595259622,0.05951790496974732,179003397685,USD,63.99740988560328,783157606.5,USD,15983859991.1,USD,2026-04-21,12.833617262918795,14.414594227775337,Medical specialties,Health technology
